channelsToEnergies	channelsToEnergies_intrp
457.08569	457.33316
457.1806	457.4281
457.27554	457.52304
457.37051	457.61804
457.46555	457.71307
457.56061	457.80817
457.6557	457.90326
457.75082	457.99841
457.84601	458.09363
457.94122	458.18884
458.03647	458.28412
458.13177	458.37946
458.22711	458.47479
458.32248	458.57019
458.41791	458.66565
458.51337	458.76111
458.60886	458.85663
458.70438	458.95218
458.79996	459.04779
458.89557	459.1434
458.99121	459.23907
459.08691	459.33478
459.18265	459.43054
459.27841	459.52634
459.37424	459.62219
459.47009	459.71805
459.56598	459.81396
459.6619	459.90991
459.75787	460.00589
459.85388	460.10193
459.94995	460.198
460.04602	460.29413
460.14218	460.39026
460.23834	460.48645
460.33456	460.5827
460.43082	460.67896
460.5271	460.77527
460.62344	460.87164
460.71982	460.96802
460.81622	461.06445
460.91269	461.16095
461.00919	461.25745
461.10571	461.354
461.20227	461.45059
461.29889	461.54724
461.39557	461.64392
461.49225	461.74063
461.58899	461.8374
461.68576	461.9342
461.78259	462.03104
461.87946	462.12793
461.97635	462.22485
462.0733	462.32181
462.17029	462.41882
462.2673	462.51584
462.36435	462.61292
462.46146	462.71002
462.55859	462.80719
462.65579	462.90442
462.75302	463.00165
462.85028	463.09894
462.9476	463.19629
463.04495	463.29364
463.14233	463.39105
463.23978	463.48853
463.33725	463.586
463.43475	463.68353
463.53232	463.78113
463.62988	463.87872
463.72754	463.97638
463.82523	464.0741
463.92294	464.17181
464.02069	464.26959
464.1185	464.36743
464.21634	464.46527
464.31421	464.56317
464.41214	464.66113
464.5101	464.75912
464.60812	464.85715
464.70615	464.9552
464.80426	465.05334
464.90237	465.15149
465.00055	465.24966
465.09875	465.3479
465.19702	465.44617
465.29532	465.54449
465.39365	465.64285
465.49203	465.74127
465.59045	465.83972
465.68893	465.93817
465.78741	466.03671
465.88599	466.13528
465.98456	466.23389
466.08319	466.33252
466.18185	466.43121
466.28058	466.52997
466.37933	466.62872
466.47812	466.72754
466.57697	466.82642
466.67584	466.92532
466.77478	467.02429
466.87375	467.12326
466.97275	467.22229
467.07178	467.32135
467.17087	467.42047
467.27002	467.51962
467.3692	467.61884
467.46841	467.71805
467.56766	467.81732
467.66696	467.91663
467.7663	468.01599
467.86569	468.11542
467.96512	468.21484
468.06458	468.31433
468.16409	468.41388
468.26364	468.51346
468.36325	468.6131
468.46289	468.71274
468.56256	468.81244
468.66229	468.91217
468.76205	469.01196
468.86188	469.11182
468.96173	469.21167
469.06161	469.31158
469.16156	469.41156
469.26154	469.51154
469.36154	469.61157
469.46161	469.71167
469.56174	469.81183
469.66187	469.91199
469.76205	470.01221
469.8623	470.11246
469.96259	470.21277
470.0629	470.31311
470.16327	470.41348
470.26367	470.51392
470.36411	470.61438
470.4646	470.7149
470.56516	470.81543
470.66571	470.91605
470.76636	471.01669
470.867	471.11737
470.96771	471.21808
471.06845	471.31885
471.16925	471.41968
471.27008	471.52054
471.37097	471.62146
471.47189	471.72241
471.57288	471.82336
471.67386	471.92441
471.77493	472.02548
471.87601	472.12659
471.97714	472.22775
472.07834	472.32898
472.17957	472.43021
472.28082	472.53149
472.38214	472.63281
472.48349	472.73419
472.5849	472.83563
472.68634	472.9371
472.78784	473.03864
472.88937	473.14017
472.99094	473.24176
473.09256	473.34338
473.19421	473.44507
473.29593	473.54681
473.39767	473.64856
473.49945	473.75037
473.60129	473.85223
473.70319	473.95416
473.80508	474.05609
473.90707	474.15808
474.00906	474.2601
474.11111	474.36218
474.21323	474.46429
474.31537	474.56647
474.41754	474.66867
474.51978	474.77094
474.62207	474.87323
474.7244	474.97559
474.82675	475.07794
474.92914	475.18039
475.03162	475.28287
475.13409	475.38538
475.23663	475.48795
475.33923	475.59058
475.44186	475.69321
475.54453	475.7959
475.64725	475.89862
475.75	476.0014
475.85281	476.10425
475.95566	476.20712
476.05856	476.31006
476.1615	476.41299
476.26447	476.51599
476.36749	476.61905
476.47058	476.72217
476.5737	476.82529
476.67685	476.92847
476.78006	477.03168
476.8833	477.13495
476.9866	477.23828
477.08994	477.34164
477.19333	477.44507
477.29675	477.54852
477.40024	477.65201
477.50375	477.75555
477.60733	477.85913
477.71094	477.96277
477.81458	478.06644
477.91827	478.17017
478.02203	478.27393
478.12582	478.37775
478.22964	478.4816
478.33353	478.58551
478.43747	478.68945
478.54144	478.79346
478.64545	478.89749
478.74951	479.00159
478.85361	479.10571
478.95776	479.20987
479.06195	479.31409
479.1662	479.41833
479.27048	479.52264
479.37482	479.62701
479.47919	479.73141
479.58362	479.83588
479.68808	479.94037
479.7926	480.04489
479.89716	480.14948
480.00177	480.25409
480.10641	480.35876
480.21112	480.4635
480.31586	480.56827
480.42065	480.6731
480.52548	480.77795
480.63037	480.88284
480.73529	480.98779
480.84027	481.09277
480.94528	481.19781
481.05032	481.30292
481.15546	481.40802
481.26059	481.51321
481.36581	481.61844
481.47104	481.72369
481.57632	481.82901
481.68167	481.93439
481.78705	482.03979
481.89249	482.14523
481.99796	482.25073
482.10349	482.35629
482.20908	482.46188
482.31467	482.5675
482.42035	482.67322
482.52603	482.77893
482.63181	482.8847
482.73761	482.99054
