Instrument: Andor
X Size: 2048
Y Size: 64
Total Flux: 0.000
Total Counts: 376388
Background: 334.000000
Curvature: 0.0
Clipped to ROI: No
ROI: 1309 526 2539 1627
X	Counts
0	7
1	0
2	0
3	10
4	6
5	0
6	0
7	8
8	13
9	5
10	0
11	1
12	12
13	3
14	33
15	51
16	44
17	10
18	6
19	10
20	30
21	0
22	20
23	1
24	11
25	0
26	1
27	3
28	12
29	9
30	0
31	4
32	20
33	26
34	40
35	24
36	8
37	12
38	8
39	11
40	29
41	6
42	13
43	12
44	11
45	1
46	8
47	53
48	33
49	51
50	2
51	19
52	1
53	16
54	35
55	25
56	7
57	22
58	6
59	20
60	36
61	16
62	16
63	24
64	3
65	10
66	9
67	3
68	22
69	16
70	12
71	9
72	22
73	14
74	62
75	21
76	12
77	34
78	31
79	29
80	36
81	69
82	47
83	2
84	6
85	27
86	11
87	40
88	28
89	31
90	195
91	42
92	33
93	59
94	36
95	18
96	30
97	29
98	41
99	5
100	25
101	37
102	26
103	35
104	43
105	33
106	30
107	19
108	11
109	16
110	67
111	25
112	24
113	56
114	56
115	30
116	35
117	14
118	19
119	22
120	62
121	44
122	9
123	94
124	23
125	55
126	26
127	31
128	39
129	30
130	12
131	7
132	57
133	32
134	13
135	59
136	28
137	63
138	30
139	17
140	12
141	18
142	64
143	31
144	11
145	23
146	27
147	85
148	30
149	14
150	33
151	36
152	6
153	8
154	7
155	40
156	13
157	49
158	41
159	50
160	53
161	15
162	14
163	74
164	11
165	13
166	20
167	10
168	38
169	12
170	48
171	6
172	4
173	10
174	9
175	17
176	29
177	31
178	17
179	52
180	39
181	17
182	16
183	3
184	19
185	16
186	52
187	28
188	22
189	27
190	33
191	77
192	24
193	9
194	13
195	34
196	32
197	4
198	14
199	22
200	34
201	105
202	116
203	18
204	176
205	168
206	88
207	37
208	25
209	43
210	24
211	15
212	29
213	13
214	28
215	57
216	18
217	27
218	34
219	1
220	24
221	28
222	14
223	70
224	65
225	5
226	8
227	15
228	22
229	25
230	15
231	8
232	22
233	18
234	63
235	14
236	10
237	27
238	80
239	75
240	78
241	28
242	11
243	32
244	23
245	12
246	4
247	48
248	10
249	14
250	14
251	36
252	78
253	19
254	13
255	14
256	31
257	42
258	32
259	25
260	44
261	38
262	14
263	19
264	25
265	23
266	34
267	20
268	40
269	3
270	13
271	59
272	1
273	10
274	34
275	24
276	1
277	26
278	32
279	30
280	25
281	92
282	21
283	21
284	19
285	52
286	62
287	15
288	21
289	25
290	213
291	124
292	91
293	58
294	20
295	5
296	50
297	37
298	43
299	23
300	9
301	45
302	81
303	19
304	27
305	16
306	30
307	23
308	36
309	13
310	9
311	26
312	5
313	4
314	5
315	31
316	0
317	10
318	25
319	27
320	38
321	28
322	3
323	1
324	2
325	6
326	17
327	68
328	15
329	15
330	5
331	2
332	36
333	27
334	4
335	21
336	20
337	22
338	9
339	11
340	2
341	6
342	5
343	7
344	11
345	11
346	48
347	11
348	14
349	20
350	12
351	28
352	15
353	9
354	15
355	3
356	8
357	24
358	8
359	16
360	5
361	8
362	11
363	22
364	32
365	7
366	5
367	9
368	5
369	7
370	13
371	78
372	28
373	1
374	37
375	12
376	8
377	2
378	11
379	16
380	13
381	0
382	3
383	19
384	7
385	30
386	1
387	9
388	7
389	2
390	5
391	29
392	73
393	18
394	5
395	16
396	260
397	45
398	30
399	60
400	262
401	28
402	4
403	0
404	18
405	8
406	18
407	43
408	16
409	20
410	4
411	13
412	37
413	6
414	9
415	18
416	9
417	6
418	0
419	18
420	13
421	12
422	13
423	51
424	166
425	74
426	5
427	9
428	0
429	4
430	35
431	4
432	7
433	13
434	13
435	1
436	5
437	17
438	17
439	89
440	159
441	22
442	11
443	27
444	8
445	7
446	4
447	2
448	1
449	5
450	5
451	12
452	27
453	110
454	42
455	25
456	79
457	9
458	42
459	11
460	9
461	17
462	0
463	29
464	1
465	0
466	16
467	9
468	29
469	76
470	20
471	7
472	96
473	18
474	17
475	6
476	26
477	78
478	17
479	36
480	2
481	3
482	60
483	45
484	6
485	0
486	5
487	14
488	51
489	18
490	1
491	3
492	0
493	7
494	83
495	41
496	26
497	24
498	1
499	3
500	82
501	29
502	8
503	1
504	41
505	27
506	39
507	234
508	67
509	32
510	48
511	194
512	10
513	2
514	6
515	15
516	2
517	2
518	15
519	22
520	75
521	90
522	374
523	134
524	172
525	300
526	34
527	127
528	136
529	27
530	95
531	58
532	42
533	99
534	60
535	86
536	89
537	211
538	232
539	188
540	76
541	132
542	312
543	178
544	62
545	71
546	191
547	117
548	105
549	288
550	325
551	242
552	147
553	278
554	78
555	177
556	95
557	142
558	231
559	398
560	331
561	431
562	370
563	387
564	611
565	383
566	381
567	906
568	655
569	639
570	650
571	443
572	691
573	782
574	1119
575	797
576	876
577	597
578	933
579	1070
580	944
581	690
582	820
583	1279
584	1016
585	930
586	1093
587	1377
588	1452
589	1296
590	1309
591	957
592	1130
593	1059
594	1437
595	1863
596	1775
597	1865
598	1780
599	2222
600	2582
601	2812
602	3211
603	2814
604	3016
605	2494
606	2389
607	2857
608	2995
609	2738
610	2602
611	2828
612	2426
613	3069
614	2769
615	2245
616	2489
617	2932
618	1959
619	1856
620	1641
621	1886
622	2032
623	2051
624	1959
625	1584
626	1485
627	1337
628	1168
629	1366
630	1283
631	1122
632	1141
633	1816
634	1557
635	1023
636	372
637	1041
638	1327
639	1071
640	665
641	555
642	579
643	1080
644	539
645	618
646	818
647	441
648	464
649	684
650	581
651	646
652	620
653	326
654	342
655	468
656	326
657	143
658	32
659	15
660	155
661	348
662	158
663	323
664	184
665	54
666	96
667	19
668	102
669	42
670	173
671	153
672	229
673	49
674	5
675	58
676	124
677	287
678	91
679	262
680	131
681	5
682	56
683	30
684	117
685	55
686	25
687	40
688	24
689	91
690	48
691	42
692	11
693	57
694	3
695	33
696	40
697	45
698	25
699	19
700	5
701	26
702	51
703	21
704	32
705	43
706	15
707	23
708	19
709	24
710	44
711	40
712	16
713	42
714	8
715	35
716	12
717	27
718	16
719	42
720	19
721	38
722	30
723	12
724	44
725	52
726	19
727	25
728	7
729	40
730	17
731	43
732	99
733	13
734	7
735	44
736	12
737	47
738	49
739	11
740	13
741	18
742	34
743	36
744	16
745	7
746	11
747	27
748	13
749	31
750	74
751	41
752	21
753	37
754	63
755	1
756	6
757	74
758	46
759	28
760	21
761	6
762	42
763	11
764	39
765	66
766	29
767	34
768	20
769	39
770	28
771	21
772	18
773	33
774	5
775	34
776	6
777	33
778	33
779	43
780	33
781	28
782	24
783	34
784	13
785	28
786	27
787	8
788	17
789	57
790	47
791	10
792	43
793	33
794	18
795	10
796	48
797	51
798	117
799	40
800	47
801	58
802	16
803	36
804	29
805	24
806	33
807	31
808	42
809	32
810	16
811	20
812	61
813	37
814	26
815	29
816	31
817	43
818	77
819	54
820	112
821	41
822	15
823	39
824	13
825	4
826	19
827	17
828	47
829	22
830	3
831	23
832	53
833	66
834	25
835	44
836	20
837	70
838	78
839	4
840	15
841	16
842	32
843	42
844	56
845	16
846	41
847	49
848	16
849	13
850	21
851	63
852	50
853	54
854	22
855	44
856	56
857	48
858	41
859	54
860	21
861	28
862	46
863	33
864	16
865	28
866	27
867	65
868	36
869	39
870	48
871	34
872	36
873	31
874	37
875	36
876	54
877	17
878	35
879	14
880	40
881	35
882	27
883	46
884	43
885	22
886	40
887	55
888	87
889	74
890	10
891	43
892	32
893	42
894	15
895	106
896	157
897	141
898	110
899	150
900	73
901	34
902	39
903	43
904	46
905	50
906	61
907	85
908	46
909	78
910	78
911	145
912	73
913	89
914	39
915	67
916	76
917	112
918	64
919	93
920	46
921	101
922	86
923	126
924	82
925	71
926	72
927	80
928	39
929	82
930	101
931	102
932	68
933	88
934	37
935	35
936	60
937	81
938	44
939	49
940	45
941	50
942	8
943	72
944	61
945	16
946	40
947	63
948	44
949	51
950	17
951	18
952	44
953	38
954	37
955	82
956	39
957	54
958	73
959	53
960	32
961	21
962	66
963	101
964	130
965	42
966	66
967	22
968	64
969	36
970	31
971	50
972	43
973	34
974	43
975	72
976	15
977	51
978	33
979	25
980	1
981	36
982	44
983	27
984	27
985	88
986	33
987	23
988	65
989	139
990	78
991	27
992	48
993	45
994	85
995	11
996	37
997	43
998	15
999	35
1000	131
1001	108
1002	76
1003	53
1004	48
1005	61
1006	54
1007	57
1008	54
1009	133
1010	28
1011	34
1012	27
1013	38
1014	45
1015	54
1016	56
1017	51
1018	76
1019	48
1020	23
1021	36
1022	54
1023	31
1024	60
1025	63
1026	50
1027	88
1028	51
1029	24
1030	18
1031	25
1032	59
1033	70
1034	59
1035	78
1036	82
1037	66
1038	10
1039	18
1040	91
1041	16
1042	40
1043	24
1044	49
1045	43
1046	14
1047	39
1048	48
1049	74
1050	109
1051	86
1052	25
1053	48
1054	33
1055	33
1056	38
1057	61
1058	60
1059	89
1060	73
1061	20
1062	46
1063	57
1064	36
1065	27
1066	20
1067	42
1068	58
1069	62
1070	30
1071	45
1072	22
1073	33
1074	43
1075	23
1076	14
1077	35
1078	35
1079	20
1080	42
1081	39
1082	26
1083	51
1084	5
1085	38
1086	53
1087	40
1088	1
1089	55
1090	8
1091	22
1092	31
1093	46
1094	61
1095	33
1096	37
1097	25
1098	45
1099	32
1100	26
1101	43
1102	47
1103	111
1104	62
1105	64
1106	11
1107	42
1108	35
1109	66
1110	25
1111	39
1112	29
1113	30
1114	41
1115	54
1116	20
1117	53
1118	10
1119	81
1120	53
1121	157
1122	62
1123	55
1124	105
1125	114
1126	21
1127	14
1128	11
1129	55
1130	42
1131	59
1132	21
1133	13
1134	26
1135	24
1136	46
1137	22
1138	16
1139	59
1140	137
1141	27
1142	31
1143	70
1144	54
1145	16
1146	33
1147	75
1148	130
1149	89
1150	63
1151	49
1152	29
1153	29
1154	31
1155	41
1156	11
1157	16
1158	23
1159	58
1160	11
1161	43
1162	48
1163	25
1164	77
1165	46
1166	45
1167	66
1168	25
1169	46
1170	22
1171	0
1172	30
1173	15
1174	85
1175	65
1176	107
1177	105
1178	27
1179	25
1180	74
1181	21
1182	17
1183	45
1184	40
1185	53
1186	62
1187	42
1188	60
1189	87
1190	68
1191	21
1192	21
1193	40
1194	65
1195	46
1196	78
1197	34
1198	40
1199	39
1200	43
1201	58
1202	18
1203	55
1204	45
1205	37
1206	77
1207	112
1208	32
1209	35
1210	61
1211	20
1212	59
1213	24
1214	24
1215	26
1216	64
1217	89
1218	42
1219	56
1220	76
1221	48
1222	9
1223	57
1224	35
1225	39
1226	19
1227	26
1228	16
1229	35
1230	49
1231	13
1232	49
1233	65
1234	29
1235	11
1236	11
1237	49
1238	58
1239	54
1240	14
1241	15
1242	30
1243	23
1244	31
1245	59
1246	12
1247	30
1248	31
1249	25
1250	41
1251	12
1252	44
1253	108
1254	29
1255	29
1256	37
1257	29
1258	39
1259	18
1260	43
1261	76
1262	36
1263	35
1264	19
1265	22
1266	60
1267	26
1268	6
1269	34
1270	46
1271	36
1272	33
1273	6
1274	11
1275	27
1276	17
1277	37
1278	47
1279	56
1280	51
1281	82
1282	40
1283	13
1284	34
1285	27
1286	35
1287	12
1288	44
1289	44
1290	49
1291	29
1292	60
1293	62
1294	20
1295	88
1296	94
1297	41
1298	25
1299	29
1300	41
1301	21
1302	30
1303	60
1304	44
1305	23
1306	14
1307	136
1308	12
1309	24
1310	64
1311	14
1312	9
1313	40
1314	11
1315	30
1316	25
1317	53
1318	20
1319	67
1320	81
1321	22
1322	48
1323	26
1324	29
1325	12
1326	21
1327	100
1328	66
1329	38
1330	29
1331	9
1332	27
1333	38
1334	15
1335	58
1336	71
1337	113
1338	48
1339	16
1340	34
1341	43
1342	159
1343	53
1344	42
1345	36
1346	24
1347	8
1348	14
1349	35
1350	14
1351	56
1352	7
1353	37
1354	40
1355	31
1356	10
1357	22
1358	12
1359	35
1360	33
1361	43
1362	56
1363	144
1364	52
1365	49
1366	21
1367	29
1368	12
1369	47
1370	10
1371	40
1372	21
1373	40
1374	28
1375	23
1376	9
1377	45
1378	43
1379	36
1380	140
1381	33
1382	10
1383	18
1384	34
1385	79
1386	241
1387	70
1388	47
1389	8
1390	43
1391	23
1392	25
1393	29
1394	21
1395	7
1396	6
1397	26
1398	25
1399	59
1400	21
1401	44
1402	22
1403	27
1404	67
1405	54
1406	29
1407	72
1408	89
1409	43
1410	11
1411	27
1412	35
1413	44
1414	23
1415	16
1416	28
1417	8
1418	8
1419	31
1420	48
1421	70
1422	44
1423	135
1424	24
1425	16
1426	67
1427	56
1428	43
1429	46
1430	18
1431	25
1432	25
1433	26
1434	13
1435	32
1436	34
1437	44
1438	41
1439	51
1440	43
1441	45
1442	56
1443	72
1444	20
1445	0
1446	44
1447	44
1448	13
1449	32
1450	9
1451	16
1452	151
1453	240
1454	22
1455	31
1456	169
1457	39
1458	117
1459	75
1460	4
1461	18
1462	43
1463	4
1464	56
1465	103
1466	60
1467	7
1468	18
1469	1
1470	8
1471	46
1472	3
1473	15
1474	32
1475	23
1476	98
1477	96
1478	35
1479	34
1480	21
1481	35
1482	68
1483	16
1484	20
1485	29
1486	41
1487	60
1488	16
1489	36
1490	29
1491	54
1492	91
1493	65
1494	20
1495	78
1496	51
1497	94
1498	29
1499	180
1500	62
1501	33
1502	36
1503	77
1504	93
1505	59
1506	68
1507	14
1508	5
1509	12
1510	15
1511	80
1512	91
1513	300
1514	58
1515	21
1516	69
1517	2
1518	48
1519	120
1520	123
1521	73
1522	42
1523	133
1524	26
1525	61
1526	51
1527	28
1528	52
1529	14
1530	11
1531	10
1532	14
1533	40
1534	157
1535	48
1536	50
1537	43
1538	58
1539	51
1540	108
1541	42
1542	16
1543	78
1544	19
1545	95
1546	71
1547	12
1548	39
1549	76
1550	41
1551	138
1552	225
1553	92
1554	52
1555	164
1556	197
1557	103
1558	135
1559	492
1560	424
1561	197
1562	84
1563	89
1564	344
1565	106
1566	599
1567	533
1568	251
1569	443
1570	474
1571	465
1572	432
1573	611
1574	623
1575	707
1576	655
1577	1235
1578	1281
1579	845
1580	1146
1581	1086
1582	1228
1583	1195
1584	1544
1585	1854
1586	2258
1587	2027
1588	1896
1589	2111
1590	2736
1591	3366
1592	3143
1593	2354
1594	2233
1595	2659
1596	1875
1597	2344
1598	2591
1599	2755
1600	2378
1601	2365
1602	2161
1603	2229
1604	2843
1605	2420
1606	2616
1607	3129
1608	2468
1609	2134
1610	1632
1611	1949
1612	1650
1613	1812
1614	2013
1615	1365
1616	1223
1617	1337
1618	1540
1619	1336
1620	1268
1621	996
1622	1060
1623	910
1624	1014
1625	946
1626	1001
1627	1297
1628	749
1629	668
1630	814
1631	716
1632	276
1633	505
1634	641
1635	854
1636	553
1637	150
1638	74
1639	145
1640	381
1641	268
1642	199
1643	375
1644	143
1645	283
1646	225
1647	283
1648	141
1649	59
1650	82
1651	155
1652	117
1653	114
1654	32
1655	54
1656	116
1657	191
1658	63
1659	128
1660	198
1661	133
1662	18
1663	88
1664	80
1665	32
1666	32
1667	38
1668	59
1669	8
1670	45
1671	49
1672	97
1673	244
1674	114
1675	57
1676	46
1677	56
1678	39
1679	49
1680	65
1681	106
1682	46
1683	18
1684	30
1685	55
1686	38
1687	39
1688	66
1689	60
1690	57
1691	42
1692	33
1693	6
1694	61
1695	98
1696	51
1697	224
1698	534
1699	37
1700	25
1701	60
1702	50
1703	50
1704	36
1705	14
1706	39
1707	73
1708	42
1709	56
1710	136
1711	354
1712	119
1713	51
1714	114
1715	58
1716	38
1717	89
1718	45
1719	22
1720	34
1721	28
1722	41
1723	68
1724	33
1725	25
1726	72
1727	99
1728	28
1729	14
1730	16
1731	20
1732	18
1733	73
1734	123
1735	51
1736	48
1737	30
1738	43
1739	35
1740	54
1741	69
1742	65
1743	59
1744	41
1745	31
1746	36
1747	26
1748	36
1749	55
1750	38
1751	25
1752	38
1753	30
1754	82
1755	46
1756	52
1757	89
1758	32
1759	58
1760	27
1761	39
1762	40
1763	73
1764	73
1765	36
1766	26
1767	29
1768	28
1769	82
1770	124
1771	43
1772	37
1773	27
1774	71
1775	105
1776	59
1777	135
1778	74
1779	39
1780	34
1781	60
1782	84
1783	50
1784	63
1785	43
1786	15
1787	46
1788	65
1789	69
1790	17
1791	73
1792	44
1793	67
1794	63
1795	304
1796	136
1797	131
1798	107
1799	70
1800	135
1801	94
1802	48
1803	30
1804	38
1805	41
1806	43
1807	54
1808	129
1809	74
1810	56
1811	56
1812	44
1813	66
1814	49
1815	50
1816	87
1817	187
1818	44
1819	88
1820	99
1821	112
1822	81
1823	74
1824	49
1825	18
1826	14
1827	35
1828	51
1829	59
1830	62
1831	51
1832	135
1833	73
1834	38
1835	10
1836	42
1837	124
1838	92
1839	74
1840	53
1841	27
1842	59
1843	40
1844	115
1845	204
1846	52
1847	59
1848	68
1849	210
1850	209
1851	223
1852	207
1853	84
1854	92
1855	36
1856	55
1857	19
1858	66
1859	57
1860	48
1861	49
1862	111
1863	78
1864	51
1865	126
1866	68
1867	103
1868	45
1869	119
1870	85
1871	60
1872	76
1873	222
1874	62
1875	68
1876	51
1877	88
1878	52
1879	71
1880	35
1881	68
1882	24
1883	126
1884	230
1885	173
1886	188
1887	52
1888	85
1889	37
1890	77
1891	63
1892	62
1893	109
1894	23
1895	139
1896	43
1897	55
1898	81
1899	103
1900	108
1901	262
1902	224
1903	147
1904	178
1905	78
1906	193
1907	81
1908	82
1909	124
1910	123
1911	73
1912	122
1913	321
1914	134
1915	151
1916	128
1917	59
1918	57
1919	107
1920	159
1921	239
1922	285
1923	368
1924	149
1925	147
1926	315
1927	129
1928	129
1929	219
1930	127
1931	523
1932	456
1933	353
1934	105
1935	150
1936	199
1937	85
1938	104
1939	155
1940	151
1941	104
1942	194
1943	209
1944	131
1945	63
1946	163
1947	166
1948	106
1949	59
1950	126
1951	155
1952	292
1953	265
1954	316
1955	115
1956	120
1957	108
1958	73
1959	145
