Instrument: Andor
X Size: 2048
Y Size: 64
Total Flux: 0.000
Total Counts: 173082
Background: 313.000000
Curvature: 0.0
Clipped to ROI: No
ROI: 1309 526 2539 1627
X	Counts
0	70
1	105
2	65
3	63
4	46
5	44
6	67
7	55
8	75
9	53
10	65
11	74
12	65
13	70
14	64
15	72
16	72
17	75
18	86
19	37
20	64
21	65
22	85
23	66
24	89
25	79
26	78
27	68
28	61
29	65
30	52
31	40
32	63
33	56
34	66
35	53
36	49
37	56
38	93
39	74
40	80
41	55
42	64
43	48
44	55
45	46
46	71
47	86
48	77
49	86
50	86
51	88
52	35
53	80
54	53
55	69
56	59
57	53
58	66
59	65
60	73
61	72
62	48
63	50
64	96
65	56
66	49
67	55
68	24
69	61
70	59
71	78
72	61
73	75
74	71
75	44
76	48
77	49
78	66
79	78
80	57
81	74
82	64
83	93
84	45
85	47
86	51
87	70
88	46
89	25
90	79
91	55
92	48
93	76
94	60
95	55
96	80
97	35
98	43
99	70
100	81
101	58
102	53
103	76
104	96
105	72
106	77
107	59
108	82
109	75
110	72
111	44
112	65
113	73
114	70
115	64
116	60
117	50
118	51
119	72
120	47
121	52
122	63
123	52
124	41
125	53
126	85
127	45
128	46
129	57
130	42
131	61
132	47
133	88
134	55
135	98
136	37
137	52
138	74
139	54
140	46
141	54
142	70
143	88
144	71
145	43
146	74
147	74
148	56
149	44
150	41
151	64
152	95
153	79
154	33
155	77
156	49
157	48
158	32
159	55
160	79
161	88
162	45
163	81
164	58
165	53
166	73
167	56
168	43
169	49
170	45
171	55
172	68
173	57
174	44
175	72
176	45
177	52
178	45
179	50
180	62
181	50
182	48
183	38
184	31
185	67
186	63
187	39
188	73
189	53
190	87
191	58
192	71
193	37
194	37
195	56
196	42
197	35
198	57
199	38
200	38
201	44
202	74
203	56
204	45
205	38
206	53
207	33
208	56
209	52
210	79
211	45
212	38
213	46
214	52
215	31
216	43
217	63
218	86
219	43
220	53
221	61
222	41
223	47
224	48
225	52
226	75
227	53
228	39
229	54
230	59
231	55
232	28
233	71
234	37
235	73
236	49
237	32
238	42
239	25
240	52
241	53
242	48
243	49
244	44
245	71
246	39
247	48
248	49
249	53
250	31
251	55
252	35
253	75
254	40
255	46
256	70
257	72
258	53
259	60
260	61
261	37
262	44
263	59
264	31
265	71
266	27
267	47
268	25
269	40
270	62
271	54
272	53
273	44
274	48
275	54
276	41
277	50
278	48
279	41
280	46
281	28
282	45
283	44
284	23
285	47
286	54
287	40
288	65
289	45
290	39
291	47
292	48
293	55
294	62
295	41
296	68
297	55
298	64
299	55
300	59
301	43
302	52
303	50
304	36
305	32
306	50
307	64
308	36
309	64
310	49
311	60
312	69
313	58
314	41
315	79
316	38
317	39
318	73
319	37
320	48
321	53
322	37
323	53
324	58
325	42
326	57
327	33
328	66
329	52
330	43
331	34
332	70
333	36
334	52
335	39
336	63
337	49
338	37
339	54
340	69
341	39
342	38
343	51
344	56
345	54
346	86
347	48
348	41
349	44
350	64
351	41
352	60
353	36
354	57
355	29
356	27
357	29
358	81
359	50
360	49
361	45
362	55
363	60
364	31
365	52
366	47
367	40
368	35
369	20
370	130
371	115
372	88
373	72
374	52
375	72
376	42
377	45
378	37
379	58
380	51
381	52
382	51
383	62
384	34
385	54
386	44
387	38
388	63
389	29
390	18
391	48
392	32
393	54
394	55
395	36
396	59
397	19
398	50
399	23
400	37
401	41
402	35
403	42
404	63
405	58
406	56
407	56
408	48
409	36
410	58
411	44
412	41
413	55
414	41
415	49
416	64
417	39
418	40
419	63
420	50
421	60
422	53
423	76
424	54
425	50
426	59
427	60
428	87
429	69
430	23
431	67
432	49
433	59
434	53
435	49
436	34
437	51
438	54
439	32
440	50
441	42
442	50
443	46
444	38
445	65
446	35
447	40
448	62
449	32
450	35
451	46
452	52
453	36
454	44
455	44
456	40
457	69
458	62
459	63
460	60
461	73
462	52
463	43
464	44
465	46
466	51
467	45
468	43
469	52
470	73
471	58
472	47
473	57
474	50
475	48
476	49
477	55
478	47
479	65
480	55
481	52
482	73
483	50
484	43
485	41
486	58
487	52
488	65
489	48
490	51
491	49
492	48
493	58
494	42
495	40
496	51
497	37
498	60
499	48
500	56
501	41
502	59
503	46
504	65
505	53
506	50
507	39
508	79
509	53
510	74
511	54
512	28
513	35
514	41
515	40
516	46
517	65
518	57
519	57
520	43
521	49
522	50
523	76
524	34
525	56
526	53
527	41
528	33
529	64
530	25
531	75
532	101
533	45
534	60
535	53
536	38
537	50
538	75
539	72
540	122
541	41
542	55
543	39
544	54
545	50
546	60
547	59
548	61
549	75
550	59
551	78
552	66
553	55
554	48
555	38
556	66
557	84
558	24
559	53
560	69
561	59
562	68
563	33
564	38
565	57
566	64
567	48
568	56
569	56
570	73
571	84
572	39
573	24
574	41
575	33
576	38
577	61
578	47
579	45
580	73
581	41
582	36
583	61
584	52
585	65
586	46
587	64
588	63
589	68
590	54
591	44
592	50
593	66
594	66
595	25
596	39
597	36
598	63
599	57
600	43
601	46
602	69
603	53
604	49
605	51
606	48
607	62
608	58
609	50
610	44
611	84
612	64
613	79
614	39
615	37
616	32
617	34
618	53
619	61
620	53
621	61
622	57
623	66
624	47
625	46
626	53
627	63
628	55
629	62
630	61
631	73
632	37
633	48
634	42
635	54
636	64
