Instrument: Andor
X Size: 2048
Y Size: 64
Total Flux: 0.000
Total Counts: 1543737
Background: 313.000000
Curvature: 0.0
Clipped to ROI: No
ROI: 1309 526 2539 1627
X	Counts
0	160
1	192
2	152
3	92
4	129
5	178
6	100
7	144
8	115
9	124
10	107
11	94
12	135
13	102
14	118
15	179
16	108
17	102
18	84
19	99
20	103
21	91
22	70
23	133
24	56
25	91
26	89
27	126
28	135
29	120
30	109
31	90
32	141
33	132
34	147
35	74
36	64
37	146
38	166
39	78
40	105
41	102
42	171
43	383
44	209
45	103
46	167
47	99
48	170
49	155
50	126
51	138
52	113
53	98
54	183
55	314
56	194
57	154
58	89
59	118
60	161
61	150
62	264
63	174
64	206
65	140
66	164
67	149
68	87
69	179
70	278
71	188
72	121
73	120
74	141
75	229
76	243
77	295
78	275
79	288
80	198
81	269
82	337
83	293
84	212
85	358
86	148
87	288
88	249
89	188
90	214
91	155
92	172
93	153
94	84
95	93
96	130
97	107
98	152
99	108
100	144
101	138
102	171
103	132
104	124
105	139
106	191
107	121
108	118
109	172
110	168
111	145
112	186
113	157
114	554
115	342
116	234
117	404
118	285
119	204
120	82
121	146
122	242
123	238
124	350
125	287
126	230
127	253
128	161
129	322
130	163
131	151
132	203
133	299
134	253
135	130
136	228
137	174
138	216
139	267
140	165
141	430
142	157
143	363
144	187
145	314
146	250
147	171
148	285
149	240
150	285
151	249
152	238
153	367
154	289
155	290
156	227
157	229
158	164
159	313
160	149
161	245
162	246
163	235
164	204
165	227
166	289
167	312
168	188
169	248
170	252
171	182
172	323
173	218
174	270
175	216
176	187
177	257
178	335
179	257
180	225
181	248
182	297
183	148
184	301
185	300
186	259
187	324
188	400
189	549
190	370
191	227
192	472
193	441
194	461
195	315
196	280
197	383
198	372
199	300
200	349
201	414
202	360
203	291
204	366
205	362
206	307
207	372
208	395
209	477
210	308
211	459
212	300
213	325
214	337
215	360
216	264
217	251
218	220
219	230
220	288
221	274
222	294
223	311
224	186
225	324
226	443
227	519
228	263
229	281
230	309
231	355
232	489
233	638
234	527
235	381
236	435
237	421
238	350
239	371
240	343
241	426
242	633
243	552
244	340
245	492
246	677
247	631
248	300
249	350
250	554
251	328
252	440
253	611
254	535
255	501
256	451
257	398
258	297
259	390
260	362
261	603
262	391
263	575
264	403
265	372
266	442
267	626
268	638
269	628
270	514
271	359
272	341
273	312
274	315
275	371
276	235
277	363
278	317
279	289
280	402
281	515
282	636
283	383
284	573
285	589
286	422
287	627
288	377
289	619
290	378
291	383
292	415
293	414
294	588
295	528
296	448
297	574
298	462
299	395
300	329
301	338
302	353
303	512
304	406
305	321
306	298
307	288
308	317
309	321
310	294
311	427
312	415
313	376
314	368
315	352
316	383
317	422
318	434
319	350
320	341
321	561
322	385
323	439
324	464
325	461
326	677
327	611
328	520
329	392
330	341
331	345
332	507
333	553
334	452
335	438
336	554
337	619
338	522
339	418
340	341
341	374
342	330
343	490
344	793
345	532
346	630
347	753
348	479
349	368
350	435
351	484
352	457
353	410
354	361
355	446
356	501
357	400
358	400
359	381
360	429
361	503
362	580
363	501
364	368
365	306
366	330
367	390
368	535
369	674
370	562
371	418
372	465
373	517
374	653
375	621
376	555
377	628
378	496
379	550
380	441
381	350
382	356
383	456
384	398
385	324
386	340
387	393
388	301
389	381
390	506
391	449
392	387
393	307
394	320
395	337
396	420
397	373
398	485
399	372
400	452
401	448
402	481
403	424
404	531
405	589
406	525
407	394
408	440
409	350
410	462
411	511
412	619
413	373
414	343
415	324
416	500
417	561
418	450
419	471
420	407
421	371
422	393
423	412
424	441
425	492
426	462
427	442
428	385
429	398
430	484
431	552
432	465
433	644
434	396
435	458
436	350
437	436
438	510
439	533
440	419
441	654
442	617
443	475
444	591
445	543
446	441
447	454
448	506
449	708
450	807
451	475
452	440
453	496
454	484
455	529
456	599
457	571
458	487
459	507
460	574
461	664
462	847
463	487
464	401
465	631
466	506
467	502
468	445
469	444
470	535
471	440
472	348
473	711
474	602
475	378
476	457
477	421
478	624
479	468
480	549
481	512
482	493
483	432
484	434
485	536
486	485
487	514
488	508
489	599
490	417
491	423
492	549
493	483
494	415
495	487
496	560
497	582
498	663
499	434
500	521
501	424
502	412
503	421
504	437
505	574
506	1075
507	548
508	484
509	307
510	409
511	715
512	520
513	544
514	433
515	442
516	420
517	587
518	633
519	508
520	366
521	404
522	514
523	384
524	458
525	563
526	471
527	559
528	485
529	531
530	603
531	417
532	464
533	433
534	529
535	507
536	405
537	380
538	401
539	621
540	567
541	794
542	822
543	631
544	631
545	658
546	526
547	472
548	434
549	472
550	527
551	600
552	544
553	430
554	518
555	593
556	725
557	550
558	454
559	577
560	529
561	624
562	650
563	500
564	662
565	591
566	599
567	595
568	586
569	618
570	515
571	694
572	532
573	473
574	563
575	652
576	568
577	519
578	534
579	489
580	440
581	491
582	513
583	651
584	530
585	527
586	415
587	529
588	666
589	633
590	514
591	558
592	455
593	481
594	584
595	612
596	468
597	598
598	450
599	618
600	570
601	644
602	672
603	359
604	387
605	472
606	589
607	630
608	475
609	728
610	776
611	624
612	470
613	647
614	874
615	460
616	521
617	659
618	609
619	725
620	524
621	493
622	510
623	584
624	684
625	640
626	600
627	417
628	478
629	619
630	554
631	620
632	702
633	629
634	578
635	746
636	836
637	704
638	684
639	604
640	498
641	442
642	429
643	450
644	585
645	493
646	413
647	463
648	405
649	405
650	482
651	432
652	614
653	636
654	935
655	609
656	369
657	427
658	478
659	563
660	526
661	401
662	413
663	450
664	477
665	497
666	621
667	530
668	779
669	594
670	885
671	911
672	580
673	958
674	712
675	1069
676	936
677	914
678	816
679	795
680	636
681	796
682	684
683	1075
684	865
685	718
686	425
687	435
688	521
689	422
690	437
691	479
692	942
693	861
694	497
695	721
696	673
697	703
698	897
699	995
700	975
701	914
702	572
703	548
704	619
705	626
706	844
707	942
708	628
709	535
710	546
711	548
712	883
713	885
714	575
715	383
716	520
717	681
718	347
719	466
720	491
721	467
722	343
723	497
724	866
725	725
726	601
727	481
728	642
729	672
730	607
731	494
732	877
733	627
734	737
735	699
736	573
737	455
738	667
739	681
740	522
741	527
742	418
743	409
744	576
745	516
746	478
747	478
748	421
749	560
750	899
751	537
752	507
753	528
754	519
755	553
756	417
757	523
758	640
759	614
760	570
761	465
762	415
763	441
764	486
765	534
766	517
767	467
768	509
769	654
770	665
771	521
772	577
773	514
774	486
775	751
776	839
777	472
778	412
779	565
780	546
781	532
782	410
783	407
784	600
785	363
786	617
787	788
788	432
789	411
790	491
791	499
792	458
793	625
794	672
795	698
796	654
797	427
798	457
799	519
800	669
801	663
802	706
803	575
804	456
805	415
806	641
807	738
808	720
809	599
810	712
811	845
812	579
813	579
814	781
815	593
816	538
817	566
818	427
819	463
820	474
821	619
822	484
823	627
824	417
825	807
826	833
827	728
828	492
829	765
830	756
831	606
832	562
833	740
834	1047
835	1293
836	793
837	803
838	803
839	1013
840	602
841	691
842	913
843	975
844	1077
845	1300
846	1033
847	931
848	1417
849	2034
850	1954
851	1475
852	1287
853	1330
854	1425
855	1839
856	1204
857	1402
858	1239
859	952
860	1024
861	1187
862	1623
863	1178
864	925
865	811
866	655
867	673
868	723
869	868
870	1340
871	1295
872	1111
873	611
874	924
875	1002
876	669
877	715
878	721
879	588
880	707
881	581
882	799
883	952
884	671
885	447
886	432
887	560
888	573
889	657
890	741
891	444
892	604
893	855
894	1113
895	966
896	758
897	494
898	482
899	861
900	920
901	943
902	937
903	630
904	744
905	646
906	654
907	656
908	771
909	707
910	652
911	619
912	974
913	899
914	891
915	1047
916	562
917	545
918	670
919	533
920	517
921	519
922	656
923	781
924	491
925	623
926	633
927	935
928	563
929	875
930	803
931	653
932	474
933	502
934	983
935	755
936	806
937	1048
938	875
939	607
940	652
941	732
942	714
943	755
944	653
945	785
946	794
947	717
948	661
949	596
950	809
951	701
952	772
953	957
954	710
955	527
956	476
957	449
958	548
959	603
960	800
961	782
962	688
963	593
964	631
965	599
966	620
967	855
968	949
969	961
970	762
971	533
972	573
973	456
974	709
975	649
976	601
977	638
978	537
979	795
980	882
981	686
982	829
983	742
984	638
985	602
986	842
987	829
988	1137
989	1010
990	609
991	610
992	821
993	712
994	459
995	582
996	626
997	637
998	526
999	1036
1000	1005
1001	874
1002	791
1003	727
1004	838
1005	779
1006	815
1007	782
1008	1067
1009	1085
1010	833
1011	666
1012	811
1013	687
1014	605
1015	613
1016	939
1017	1094
1018	1131
1019	911
1020	1178
1021	1212
1022	1748
1023	1486
1024	3041
1025	5578
1026	9812
1027	13570
1028	13719
1029	13644
1030	9345
1031	4543
1032	2368
1033	1686
1034	1180
1035	1330
1036	1063
1037	1018
1038	1172
1039	1367
1040	866
1041	699
1042	1154
1043	1181
1044	707
1045	954
1046	964
1047	1293
1048	1250
1049	1165
1050	1022
1051	756
1052	1033
1053	939
1054	968
1055	854
1056	1041
1057	1284
1058	1008
1059	1000
1060	1170
1061	1353
1062	1124
1063	940
1064	641
1065	846
1066	921
1067	968
1068	1370
1069	1233
1070	1146
1071	1189
1072	1553
1073	1179
1074	1065
1075	918
1076	1167
1077	1165
1078	1107
1079	934
1080	1423
1081	1442
1082	883
1083	713
1084	1036
1085	1102
1086	1144
1087	988
1088	754
1089	948
1090	923
1091	878
1092	919
1093	738
1094	625
1095	684
1096	952
1097	997
1098	1014
1099	1084
1100	1050
1101	1063
1102	1117
1103	1032
1104	1026
1105	965
1106	723
1107	761
1108	686
1109	990
1110	758
1111	568
1112	550
1113	578
1114	652
1115	589
1116	533
1117	575
1118	888
1119	1046
1120	965
1121	624
1122	564
1123	702
1124	628
1125	657
1126	754
1127	768
1128	945
1129	565
1130	532
1131	577
1132	515
1133	567
1134	565
1135	638
1136	548
1137	585
1138	902
1139	659
1140	686
1141	663
1142	602
1143	574
1144	592
1145	742
1146	552
1147	668
1148	578
1149	776
1150	674
1151	546
1152	673
1153	530
1154	764
1155	846
1156	641
1157	716
1158	855
1159	820
1160	654
1161	752
1162	671
1163	579
1164	568
1165	538
1166	651
1167	743
1168	915
1169	799
1170	832
1171	661
1172	711
1173	916
1174	738
1175	938
1176	947
1177	751
1178	787
1179	732
1180	782
1181	600
1182	816
1183	720
1184	568
1185	576
1186	641
1187	796
1188	652
1189	632
1190	690
1191	810
1192	1134
1193	717
1194	540
1195	850
1196	1003
1197	656
1198	659
1199	651
1200	820
1201	727
1202	862
1203	868
1204	838
1205	747
1206	1078
1207	997
1208	819
1209	758
1210	723
1211	650
1212	1011
1213	843
1214	796
1215	971
1216	887
1217	1123
1218	1078
1219	885
1220	790
1221	965
1222	1126
1223	969
1224	1009
1225	1075
1226	829
1227	626
1228	872
1229	1077
1230	1029
1231	678
1232	765
1233	791
1234	1097
1235	1029
1236	1157
1237	1031
1238	1032
1239	1248
1240	979
1241	957
1242	1079
1243	1032
1244	1159
1245	1339
1246	1109
1247	941
1248	1117
1249	1013
1250	958
1251	1266
1252	1358
1253	1089
1254	1041
1255	1251
1256	1316
1257	1144
1258	1220
1259	1431
1260	1275
1261	1187
1262	1607
1263	1647
1264	1747
1265	1421
1266	1412
1267	1544
1268	1454
1269	1536
1270	1499
1271	1294
1272	1403
1273	1124
1274	1336
1275	1548
1276	1351
1277	1137
1278	1499
1279	1522
1280	1520
1281	1430
1282	1207
1283	1142
1284	1174
1285	1039
1286	1235
1287	1005
1288	917
1289	1078
1290	969
1291	1085
1292	1451
1293	1437
1294	1563
1295	1438
1296	1232
1297	827
1298	852
1299	862
1300	912
1301	1162
1302	1036
1303	913
1304	1141
1305	743
1306	894
1307	1251
1308	1277
1309	1096
1310	917
1311	815
1312	991
1313	807
1314	663
1315	806
1316	1018
1317	700
1318	749
1319	616
1320	723
1321	835
1322	1006
1323	999
1324	691
1325	809
1326	681
1327	740
1328	857
1329	759
1330	863
1331	1162
1332	1033
1333	1003
1334	943
1335	1030
1336	844
1337	1112
1338	939
1339	938
1340	1092
1341	1100
1342	824
1343	834
1344	758
1345	752
1346	825
1347	905
1348	924
1349	850
1350	860
1351	786
1352	986
1353	751
1354	802
1355	1053
1356	969
1357	1085
1358	832
1359	641
1360	761
1361	716
1362	659
1363	555
1364	641
1365	910
1366	705
1367	705
1368	971
1369	993
1370	955
1371	844
1372	759
1373	908
1374	980
1375	879
1376	652
1377	729
1378	825
1379	813
1380	692
1381	747
1382	730
1383	813
1384	710
1385	603
1386	616
1387	563
1388	686
1389	838
1390	798
1391	801
1392	562
1393	678
1394	715
1395	625
1396	715
1397	706
1398	654
1399	698
1400	677
1401	639
1402	901
1403	720
1404	534
1405	586
1406	587
1407	723
1408	999
1409	923
1410	962
1411	912
1412	673
1413	700
1414	726
1415	542
1416	922
1417	725
1418	701
1419	1002
1420	929
1421	688
1422	773
1423	770
1424	726
1425	661
1426	881
1427	732
1428	589
1429	737
1430	656
1431	598
1432	691
1433	727
1434	768
1435	777
1436	594
1437	708
1438	808
1439	717
1440	748
1441	749
1442	580
1443	697
1444	1117
1445	892
1446	878
1447	746
1448	651
1449	699
1450	777
1451	710
1452	624
1453	496
1454	623
1455	831
1456	600
1457	652
1458	783
1459	758
1460	529
1461	644
1462	599
1463	685
1464	790
1465	535
1466	625
1467	891
1468	846
1469	840
1470	698
1471	624
1472	611
1473	707
1474	775
1475	705
1476	776
1477	530
1478	778
1479	843
1480	734
1481	704
1482	641
1483	660
1484	670
1485	658
1486	777
1487	577
1488	708
1489	655
1490	697
1491	782
1492	826
1493	770
1494	667
1495	629
1496	616
1497	908
1498	724
1499	798
1500	660
1501	659
1502	669
1503	744
1504	692
1505	784
1506	793
1507	918
1508	763
1509	789
1510	705
1511	755
1512	904
1513	874
1514	920
1515	826
1516	845
1517	804
1518	642
1519	571
1520	729
1521	637
1522	1138
1523	718
1524	644
1525	652
1526	735
1527	824
1528	748
1529	672
1530	631
1531	611
1532	889
1533	790
1534	666
1535	781
1536	733
1537	905
1538	823
1539	841
1540	1088
1541	1082
1542	1063
1543	846
1544	672
1545	727
1546	748
1547	880
1548	659
1549	723
1550	754
1551	682
1552	576
1553	718
1554	801
1555	796
1556	788
1557	723
1558	901
1559	680
1560	903
1561	785
1562	685
1563	609
1564	610
1565	580
1566	790
1567	683
1568	806
1569	570
1570	775
1571	780
1572	674
1573	609
1574	589
1575	526
1576	514
1577	645
1578	690
1579	868
1580	678
1581	782
1582	818
1583	795
1584	680
1585	968
1586	876
1587	1176
1588	833
1589	843
1590	655
1591	762
1592	765
1593	692
1594	699
1595	718
1596	774
1597	784
1598	1101
1599	816
1600	666
1601	646
1602	769
1603	829
1604	768
1605	891
1606	792
1607	773
1608	680
1609	703
1610	688
1611	680
1612	730
1613	1059
1614	867
1615	731
1616	764
1617	916
1618	867
1619	618
1620	717
1621	796
1622	705
1623	767
1624	872
1625	777
1626	980
1627	915
1628	1015
1629	832
1630	685
1631	892
1632	901
1633	877
1634	870
1635	829
1636	685
1637	710
1638	720
1639	802
1640	845
1641	838
1642	628
1643	724
1644	682
1645	582
1646	652
1647	648
1648	635
1649	620
1650	856
1651	1018
1652	905
1653	825
1654	763
1655	798
1656	880
1657	759
1658	1050
1659	708
1660	697
1661	652
1662	604
1663	631
1664	756
1665	623
1666	681
1667	991
1668	988
1669	779
1670	793
1671	714
1672	824
1673	889
1674	934
1675	833
1676	865
1677	711
1678	620
1679	862
1680	908
1681	954
1682	896
1683	864
1684	812
1685	696
1686	901
1687	815
1688	754
1689	711
1690	757
1691	918
1692	797
1693	784
1694	1011
1695	1139
1696	1114
1697	722
1698	774
1699	863
1700	1021
1701	897
1702	834
1703	713
1704	801
1705	1013
1706	893
1707	847
1708	978
1709	1034
1710	834
1711	819
1712	928
1713	1115
1714	1012
1715	782
1716	919
1717	689
1718	950
1719	1127
1720	1388
1721	876
1722	707
1723	735
1724	877
1725	1071
1726	737
1727	715
1728	839
1729	1044
1730	1204
1731	851
1732	876
1733	826
1734	883
1735	888
1736	1073
1737	1268
1738	1067
1739	1215
1740	1014
1741	900
1742	1168
1743	764
1744	861
1745	803
1746	1255
1747	1130
1748	939
1749	872
1750	856
1751	849
1752	851
1753	1006
1754	946
1755	953
1756	947
1757	843
1758	847
1759	884
1760	1003
1761	847
1762	1002
1763	1274
1764	1162
1765	990
1766	986
1767	1114
1768	935
1769	826
1770	837
1771	870
1772	1126
1773	1294
1774	1298
1775	781
1776	871
1777	1098
1778	964
1779	977
1780	957
1781	885
1782	1007
1783	1040
1784	837
1785	921
1786	863
1787	926
1788	987
1789	876
1790	1040
1791	973
1792	882
1793	803
1794	1072
1795	903
1796	764
1797	870
1798	930
1799	1145
1800	916
1801	794
1802	888
1803	960
1804	914
1805	859
1806	862
1807	785
1808	834
1809	876
1810	905
1811	1119
1812	1141
1813	963
1814	891
1815	1145
1816	1269
1817	1051
1818	905
1819	889
1820	1006
1821	1099
1822	998
1823	1080
1824	985
1825	963
1826	1262
1827	1071
1828	765
1829	931
1830	1132
1831	1290
1832	955
1833	926
1834	747
1835	728
1836	910
1837	1144
1838	1175
1839	1476
1840	1212
1841	950
1842	1071
1843	1162
1844	1258
1845	1133
1846	955
1847	965
1848	1161
1849	1234
1850	1171
1851	896
1852	1059
1853	1059
1854	1153
1855	935
1856	822
1857	925
1858	1073
1859	951
1860	885
1861	1073
1862	1166
1863	1080
1864	848
1865	753
1866	960
1867	987
1868	1023
1869	1168
1870	1270
1871	1418
1872	1031
1873	1013
1874	1050
1875	998
1876	1065
1877	1208
1878	928
1879	1117
1880	830
1881	930
1882	995
1883	929
1884	1014
1885	1103
1886	1041
1887	1010
1888	1150
1889	1233
1890	1203
1891	1003
1892	1199
1893	1171
1894	1092
1895	979
1896	1052
1897	977
1898	1211
1899	1225
1900	1349
1901	1151
1902	913
1903	1208
1904	1188
1905	1033
1906	1286
1907	1528
1908	1363
1909	943
1910	888
1911	872
1912	870
1913	1163
1914	1337
1915	1020
1916	1066
1917	1100
1918	1018
1919	1138
1920	1028
1921	933
1922	1044
1923	1248
1924	996
1925	1352
1926	1253
1927	1376
1928	1190
1929	1049
1930	907
1931	1018
1932	1186
1933	1236
1934	1296
1935	1256
1936	1232
1937	1055
1938	1197
1939	1329
1940	1187
1941	1326
1942	1224
1943	1162
1944	1257
1945	995
1946	1006
1947	958
1948	1229
1949	1418
1950	1304
1951	1253
1952	1478
1953	1213
1954	1079
1955	1034
1956	1359
1957	954
1958	889
1959	850
1960	851
1961	1014
1962	1018
1963	1254
1964	1406
1965	1272
1966	1158
1967	1146
1968	1237
1969	1184
1970	994
1971	1017
1972	1120
1973	1181
1974	1398
1975	1158
1976	1200
1977	1006
1978	993
1979	909
1980	1140
1981	1391
1982	1047
1983	1138
1984	1513
1985	1272
1986	1126
1987	1032
1988	1262
1989	1250
1990	1406
1991	1170
1992	1156
1993	1115
1994	1147
1995	1018
1996	1220
1997	1290
1998	1250
1999	1248
2000	1431
2001	1708
2002	1484
2003	1410
2004	1385
2005	1221
2006	1263
2007	1266
2008	1436
2009	1160
2010	1189
2011	1348
2012	1448
2013	1198
2014	1379
2015	1219
2016	1276
2017	1317
2018	1092
2019	1516
2020	1420
2021	1417
2022	1378
2023	1368
2024	1216
2025	1179
2026	873
2027	1286
2028	1290
2029	1469
2030	1516
2031	1225
2032	1053
2033	1181
2034	1171
2035	1083
2036	1207
2037	1155
2038	1057
2039	1093
2040	1121
2041	989
2042	1127
2043	1186
2044	1396
2045	1031
2046	1143
2047	1143
