Instrument: Andor
X Size: 2048
Y Size: 64
Total Flux: 0.000
Total Counts: 848989
Background: 335.000000
Curvature: 0.0
Clipped to ROI: No
ROI: 1309 526 2539 1627
X	Counts
0	87
1	395
2	374
3	567
4	426
5	375
6	380
7	308
8	295
9	453
10	422
11	720
12	514
13	916
14	581
15	291
16	516
17	541
18	765
19	776
20	991
21	661
22	1063
23	1121
24	1009
25	797
26	929
27	1249
28	1522
29	1226
30	1206
31	1239
32	1356
33	1746
34	2279
35	2155
36	1693
37	1628
38	1363
39	1388
40	1685
41	2454
42	2660
43	2274
44	2025
45	2397
46	2306
47	2506
48	2530
49	2545
50	2521
51	2418
52	2417
53	2454
54	3310
55	3779
56	4144
57	4100
58	4911
59	5217
60	4721
61	5596
62	5194
63	5002
64	5085
65	6182
66	6461
67	5230
68	6042
69	6462
70	6362
71	6258
72	6103
73	5357
74	4812
75	4401
76	4388
77	2946
78	2948
79	3371
80	3417
81	2722
82	2443
83	2483
84	2529
85	1574
86	1369
87	1013
88	1033
89	834
90	1145
91	1553
92	1540
93	1203
94	754
95	870
96	845
97	764
98	604
99	622
100	681
101	606
102	770
103	660
104	613
105	296
106	633
107	711
108	455
109	292
110	216
111	236
112	272
113	410
114	674
115	529
116	503
117	264
118	402
119	249
120	323
121	187
122	194
123	312
124	246
125	230
126	266
127	41
128	137
129	98
130	130
131	115
132	152
133	191
134	83
135	60
136	99
137	117
138	49
139	101
140	173
141	306
142	143
143	213
144	181
145	179
146	345
147	109
148	64
149	108
150	106
151	122
152	106
153	132
154	74
155	85
156	65
157	60
158	113
159	135
160	129
161	122
162	127
163	323
164	92
165	42
166	55
167	90
168	81
169	100
170	121
171	84
172	68
173	82
174	103
175	59
176	100
177	79
178	50
179	51
180	70
181	60
182	53
183	101
184	64
185	113
186	90
187	98
188	100
189	102
190	99
191	115
192	79
193	86
194	64
195	94
196	90
197	90
198	42
199	121
200	65
201	89
202	256
203	150
204	145
205	78
206	89
207	88
208	125
209	47
210	133
211	17
212	59
213	87
214	124
215	46
216	60
217	101
218	224
219	40
220	130
221	84
222	108
223	95
224	141
225	85
226	79
227	65
228	60
229	100
230	58
231	104
232	130
233	86
234	88
235	53
236	82
237	65
238	68
239	62
240	97
241	73
242	88
243	79
244	94
245	59
246	33
247	87
248	72
249	44
250	26
251	22
252	82
253	57
254	56
255	98
256	93
257	69
258	91
259	83
260	145
261	102
262	47
263	139
264	68
265	99
266	108
267	55
268	94
269	35
270	61
271	63
272	83
273	74
274	85
275	73
276	22
277	70
278	68
279	61
280	69
281	102
282	96
283	74
284	46
285	87
286	56
287	62
288	354
289	72
290	50
291	34
292	34
293	61
294	36
295	101
296	50
297	68
298	94
299	79
300	84
301	151
302	72
303	61
304	107
305	73
306	57
307	92
308	117
309	49
310	72
311	80
312	86
313	54
314	47
315	46
316	43
317	54
318	46
319	122
320	55
321	121
322	71
323	48
324	54
325	41
326	114
327	76
328	59
329	41
330	57
331	55
332	55
333	47
334	81
335	87
336	97
337	38
338	89
339	153
340	45
341	35
342	34
343	77
344	37
345	46
346	100
347	38
348	73
349	51
350	33
351	64
352	33
353	70
354	59
355	30
356	30
357	78
358	34
359	51
360	77
361	42
362	27
363	51
364	17
365	54
366	45
367	53
368	38
369	32
370	28
371	45
372	45
373	35
374	57
375	45
376	74
377	22
378	53
379	53
380	66
381	34
382	79
383	50
384	70
385	124
386	113
387	39
388	76
389	32
390	73
391	63
392	38
393	94
394	26
395	64
396	41
397	66
398	40
399	23
400	99
401	37
402	66
403	93
404	38
405	50
406	59
407	66
408	43
409	48
410	59
411	25
412	34
413	54
414	49
415	40
416	97
417	54
418	55
419	54
420	34
421	46
422	43
423	45
