Date: 3/28/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-coarse.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 11
CoCl spot 1
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
535.60900000	769.98992689	0.00000000	0.00000000	0.00000000	500.11392767	1.88372223	0.00000000	407779.00000000	3279.00000000	110573.00000000	16619.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
5.23400000	770.51759511	0.00000000	0.00000000	0.00000000	500.06166632	1.88372223	0.00000000	408472.00000000	3145.00000000	110317.00000000	16598.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
10.93800000	771.00599935	0.00000000	0.00000000	0.00000000	500.08087852	1.88372223	0.00000000	406441.00000000	3089.00000000	110620.00000000	16544.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
15.45300000	771.50836889	0.00000000	0.00000000	0.00000000	499.96002197	1.88372223	0.00000000	404429.00000000	3060.00000000	109498.00000000	16472.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
20.46800000	772.01139358	0.00000000	0.00000000	0.00000000	500.08927085	1.88372223	0.00000000	406429.00000000	3062.00000000	109736.00000000	16513.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
25.70300000	772.50615427	0.00000000	0.00000000	0.00000000	499.94632374	1.88372223	0.00000000	405734.00000000	3054.00000000	109213.00000000	16426.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
29.90700000	773.00601549	0.00000000	0.00000000	0.00000000	499.82675032	1.88372223	0.00000000	406102.00000000	3061.00000000	109817.00000000	16448.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
35.01500000	773.51546760	0.00000000	0.00000000	0.00000000	500.20371177	1.88372223	0.00000000	405957.00000000	3072.00000000	110382.00000000	16397.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
40.36000000	774.03454727	0.00000000	0.00000000	0.00000000	500.05920410	1.88372223	0.00000000	407373.00000000	3096.00000000	111242.00000000	16485.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
45.48600000	774.50500499	0.00000000	0.00000000	0.00000000	499.97129267	1.88372223	0.00000000	406149.00000000	3068.00000000	109536.00000000	16305.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
50.39200000	775.02092488	0.00000000	0.00000000	0.00000000	499.83635642	1.88372223	0.00000000	406652.00000000	3093.00000000	110739.00000000	16333.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
55.00000000	775.50157240	0.00000000	0.00000000	0.00000000	499.71147711	1.88372223	0.00000000	407887.00000000	3133.00000000	111818.00000000	16435.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
60.12600000	776.00531916	0.00000000	0.00000000	0.00000000	499.96889981	1.88372223	0.00000000	408149.00000000	3180.00000000	114067.00000000	16508.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
