Date: 3/28/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-survey.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 11
CoCl spot 1
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
320.37400000	769.99435807	0.00000000	0.00000000	0.00000000	500.29679616	1.88372223	0.00000000	204912.00000000	1385.00000000	49348.00000000	8217.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
3.62300000	771.00599935	0.00000000	0.00000000	0.00000000	500.36406199	1.88372223	0.00000000	204292.00000000	1415.00000000	49789.00000000	8158.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
7.74900000	772.01139358	0.00000000	0.00000000	0.00000000	500.24987539	1.88372223	0.00000000	204156.00000000	1437.00000000	49964.00000000	8162.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
11.57600000	773.01048145	0.00000000	0.00000000	0.00000000	500.14904022	1.88372223	0.00000000	202614.00000000	1431.00000000	50238.00000000	8097.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
15.62300000	774.05693706	0.00000000	0.00000000	0.00000000	500.03332774	1.88372223	0.00000000	202743.00000000	1443.00000000	50801.00000000	8120.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
20.07600000	775.02990348	0.00000000	0.00000000	0.00000000	500.15329997	1.88372223	0.00000000	202656.00000000	1460.00000000	51314.00000000	8107.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
24.34300000	776.01882138	0.00000000	0.00000000	0.00000000	500.03326416	1.88372223	0.00000000	203226.00000000	1487.00000000	53198.00000000	8134.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
28.67000000	777.01026636	0.00000000	0.00000000	0.00000000	499.91399129	1.88372223	0.00000000	203158.00000000	1526.00000000	54235.00000000	8121.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
32.92000000	778.02234407	0.00000000	0.00000000	0.00000000	499.93821462	1.88372223	0.00000000	202110.00000000	1780.00000000	59820.00000000	8059.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
37.15500000	779.00984750	0.00000000	0.00000000	0.00000000	499.82377370	1.88372223	0.00000000	201548.00000000	2566.00000000	67780.00000000	8028.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
41.57600000	780.00895543	0.00000000	0.00000000	0.00000000	499.69286601	1.88372223	0.00000000	200823.00000000	2779.00000000	77879.00000000	7987.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
45.96700000	781.01062964	0.00000000	0.00000000	0.00000000	500.19894918	1.88372223	0.00000000	201331.00000000	2203.00000000	71251.00000000	7938.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
50.59200000	782.01030940	0.00000000	0.00000000	0.00000000	500.06155650	1.88372223	0.00000000	200042.00000000	1597.00000000	59600.00000000	7849.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
56.23300000	783.00796950	0.00000000	0.00000000	0.00000000	499.90922292	1.88372223	0.00000000	201127.00000000	1594.00000000	58367.00000000	7979.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
59.35800000	784.00817861	0.00000000	0.00000000	0.00000000	500.48498789	1.88372223	0.00000000	202119.00000000	1499.00000000	55825.00000000	8035.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
63.90400000	785.01094650	0.00000000	0.00000000	0.00000000	500.35694122	1.88372223	0.00000000	201401.00000000	1452.00000000	54261.00000000	8002.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
68.48200000	786.01628302	0.00000000	0.00000000	0.00000000	500.22590637	1.88372223	0.00000000	201118.00000000	1472.00000000	56742.00000000	8000.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
