Date: 3/28/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-survey.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 11
CoN3 spot 1
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
347.76300000	769.99435807	0.00000000	0.00000000	0.00000000	500.08590698	1.88372223	0.00000000	202844.00000000	2138.00000000	54912.00000000	8095.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
4.40400000	771.01488515	0.00000000	0.00000000	0.00000000	499.96707916	1.88372223	0.00000000	202299.00000000	2065.00000000	54815.00000000	8030.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
8.62300000	772.01584806	0.00000000	0.00000000	0.00000000	499.84710693	1.88372223	0.00000000	201735.00000000	2031.00000000	56361.00000000	8037.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
12.21800000	772.99708372	0.00000000	0.00000000	0.00000000	500.22056580	1.88372223	0.00000000	201823.00000000	2015.00000000	55781.00000000	8038.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
17.67200000	774.03454727	0.00000000	0.00000000	0.00000000	500.07109324	1.88372223	0.00000000	200427.00000000	1983.00000000	55969.00000000	7969.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
21.96900000	775.03439286	0.00000000	0.00000000	0.00000000	499.95442708	1.88372223	0.00000000	201555.00000000	1987.00000000	57174.00000000	8000.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
26.59400000	776.01882138	0.00000000	0.00000000	0.00000000	500.19042969	1.88372223	0.00000000	201734.00000000	2009.00000000	58660.00000000	8011.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
31.51500000	777.00575406	0.00000000	0.00000000	0.00000000	500.04419963	1.88372223	0.00000000	199803.00000000	2012.00000000	60623.00000000	7906.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
35.87500000	778.02234407	0.00000000	0.00000000	0.00000000	499.92505391	1.88372223	0.00000000	200429.00000000	2355.00000000	67331.00000000	7911.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
39.93600000	779.00984750	0.00000000	0.00000000	0.00000000	500.07999420	1.88372223	0.00000000	199827.00000000	3018.00000000	68388.00000000	7831.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
