Date: 3/28/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-fine.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 11
CoN3 spot 1
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
155.75000000	769.96334091	0.00000000	0.00000000	0.00000000	499.24310164	1.88372223	0.00000000	407264.00000000	3918.00000000	101579.00000000	16348.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
4.92300000	770.51759511	0.00000000	0.00000000	0.00000000	499.10670887	1.88372223	0.00000000	403613.00000000	3935.00000000	101725.00000000	16120.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
8.84200000	771.00155652	0.00000000	0.00000000	0.00000000	498.99722706	1.88372223	0.00000000	400114.00000000	3924.00000000	101360.00000000	15889.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
13.65500000	771.50836889	0.00000000	0.00000000	0.00000000	499.28246238	1.88372223	0.00000000	402816.00000000	3954.00000000	102632.00000000	16030.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
18.78000000	772.03812120	0.00000000	0.00000000	0.00000000	499.14294850	1.88372223	0.00000000	402071.00000000	3945.00000000	102403.00000000	16028.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
23.39000000	772.50615427	0.00000000	0.00000000	0.00000000	499.01328347	1.88372223	0.00000000	401093.00000000	3920.00000000	101638.00000000	15916.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
28.12400000	773.00601549	0.00000000	0.00000000	0.00000000	499.34058449	1.88372223	0.00000000	402284.00000000	3918.00000000	102294.00000000	15943.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
33.23100000	773.51546760	0.00000000	0.00000000	0.00000000	499.19833097	1.88372223	0.00000000	403128.00000000	3937.00000000	102362.00000000	15974.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
38.34300000	774.06141517	0.00000000	0.00000000	0.00000000	499.40741106	1.88372223	0.00000000	402450.00000000	3917.00000000	103464.00000000	15937.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
43.76500000	774.51397164	0.00000000	0.00000000	0.00000000	499.52857971	1.88372223	0.00000000	402906.00000000	3918.00000000	103661.00000000	15897.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
