Date: 3/28/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-survey.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 14
Co(CO)N spot 1
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
226.90600000	769.99878929	0.00000000	0.00000000	0.00000000	500.64247131	1.88372223	0.00000000	203272.00000000	2020.00000000	59413.00000000	8116.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
3.42100000	771.00599935	0.00000000	0.00000000	0.00000000	500.54742177	1.88372223	0.00000000	201166.00000000	1967.00000000	59204.00000000	7937.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
7.93800000	772.01584806	0.00000000	0.00000000	0.00000000	500.42312622	1.88372223	0.00000000	201991.00000000	1966.00000000	59269.00000000	8029.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
11.15500000	773.01048145	0.00000000	0.00000000	0.00000000	500.33500671	1.88372223	0.00000000	201506.00000000	1954.00000000	59488.00000000	7990.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
15.28100000	774.06589334	0.00000000	0.00000000	0.00000000	500.21537194	1.88372223	0.00000000	201899.00000000	1952.00000000	60147.00000000	7994.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
19.48200000	775.03439286	0.00000000	0.00000000	0.00000000	500.10580699	1.88372223	0.00000000	200976.00000000	1949.00000000	60391.00000000	7938.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
23.88900000	776.01882138	0.00000000	0.00000000	0.00000000	500.56185404	1.88372223	0.00000000	201881.00000000	1973.00000000	62846.00000000	7950.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
27.90400000	777.00575406	0.00000000	0.00000000	0.00000000	500.56929270	1.88372223	0.00000000	201056.00000000	2019.00000000	65070.00000000	7928.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
32.01400000	778.01329600	0.00000000	0.00000000	0.00000000	500.45981089	1.88372223	0.00000000	200592.00000000	2423.00000000	69873.00000000	7913.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
36.03000000	779.00984750	0.00000000	0.00000000	0.00000000	500.36380768	1.88372223	0.00000000	200119.00000000	3191.00000000	73079.00000000	7862.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
