Date: 3/28/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-fine.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 14
Co(CO)N spot 1
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
149.76500000	769.99878929	0.00000000	0.00000000	0.00000000	498.87484464	1.88372223	0.00000000	406676.00000000	3741.00000000	108106.00000000	16162.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
6.34200000	770.51759511	0.00000000	0.00000000	0.00000000	498.88774525	1.88372223	0.00000000	402420.00000000	3803.00000000	108424.00000000	15946.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
10.32700000	771.00155652	0.00000000	0.00000000	0.00000000	499.20311668	1.88372223	0.00000000	401921.00000000	3863.00000000	109786.00000000	15948.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
15.57700000	771.51281756	0.00000000	0.00000000	0.00000000	499.05742992	1.88372223	0.00000000	401104.00000000	3873.00000000	109137.00000000	15974.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
20.67000000	772.06485067	0.00000000	0.00000000	0.00000000	499.21400590	1.88372223	0.00000000	401676.00000000	3864.00000000	109598.00000000	15985.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
25.38800000	772.50169414	0.00000000	0.00000000	0.00000000	499.29043857	1.88372223	0.00000000	400800.00000000	3851.00000000	108999.00000000	15840.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
31.21800000	773.01048145	0.00000000	0.00000000	0.00000000	499.12862604	1.88372223	0.00000000	400593.00000000	3835.00000000	108334.00000000	15787.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
37.45200000	773.53782736	0.00000000	0.00000000	0.00000000	499.55968683	1.88372223	0.00000000	399661.00000000	3831.00000000	108383.00000000	15672.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
42.57600000	774.07037155	0.00000000	0.00000000	0.00000000	499.41708651	1.88372223	0.00000000	399686.00000000	3856.00000000	108569.00000000	15732.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
47.90600000	774.50948829	0.00000000	0.00000000	0.00000000	499.96952404	1.88372223	0.00000000	402868.00000000	3941.00000000	112519.00000000	15922.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
53.92000000	775.00745737	0.00000000	0.00000000	0.00000000	499.82732500	1.88372223	0.00000000	806242.00000000	7924.00000000	227991.00000000	31912.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
60.84200000	775.20502780	0.00000000	0.00000000	0.00000000	500.12607030	1.88372223	0.00000000	806334.00000000	7919.00000000	228381.00000000	31830.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
68.35800000	775.40719269	0.00000000	0.00000000	0.00000000	500.06921314	1.88372223	0.00000000	805085.00000000	7885.00000000	226630.00000000	31712.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
75.40500000	775.60946307	0.00000000	0.00000000	0.00000000	499.92192950	1.88372223	0.00000000	802142.00000000	7813.00000000	223629.00000000	31431.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
81.71700000	775.81183900	0.00000000	0.00000000	0.00000000	499.74647159	1.88372223	0.00000000	799877.00000000	7799.00000000	223799.00000000	31262.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
87.24900000	776.00081852	0.00000000	0.00000000	0.00000000	500.00114804	1.88372223	0.00000000	802153.00000000	7841.00000000	224147.00000000	31335.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
94.27900000	776.21240481	0.00000000	0.00000000	0.00000000	499.86347380	1.88372223	0.00000000	803625.00000000	7937.00000000	228575.00000000	31497.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
102.31100000	776.40608485	0.00000000	0.00000000	0.00000000	500.19239153	1.88372223	0.00000000	805406.00000000	8027.00000000	231203.00000000	31671.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
109.24800000	776.60887680	0.00000000	0.00000000	0.00000000	499.99998547	1.88372223	0.00000000	804314.00000000	8049.00000000	235198.00000000	31709.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
116.34100000	776.81628478	0.00000000	0.00000000	0.00000000	500.34884862	1.88372223	0.00000000	804988.00000000	8060.00000000	234410.00000000	31643.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
123.37400000	777.00124181	0.00000000	0.00000000	0.00000000	500.15368144	1.88372223	0.00000000	802604.00000000	8070.00000000	237621.00000000	31496.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
130.35700000	777.22240360	0.00000000	0.00000000	0.00000000	500.15913100	1.88372223	0.00000000	802166.00000000	8155.00000000	240255.00000000	31513.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
137.15400000	777.40755411	0.00000000	0.00000000	0.00000000	500.23319342	1.88372223	0.00000000	804201.00000000	8294.00000000	244745.00000000	31657.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
143.82700000	777.60183116	0.00000000	0.00000000	0.00000000	500.05393619	1.88372223	0.00000000	804069.00000000	8438.00000000	248405.00000000	31597.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
151.53000000	777.80976996	0.00000000	0.00000000	0.00000000	500.07491702	1.88372223	0.00000000	800013.00000000	8660.00000000	251834.00000000	31291.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
157.26400000	778.00877204	0.00000000	0.00000000	0.00000000	499.91922288	1.88372223	0.00000000	801683.00000000	9516.00000000	259379.00000000	31431.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
164.04300000	778.20334976	0.00000000	0.00000000	0.00000000	500.37249309	1.88372223	0.00000000	804654.00000000	10541.00000000	268477.00000000	31682.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
172.13900000	778.40708186	0.00000000	0.00000000	0.00000000	500.15867687	1.88372223	0.00000000	802461.00000000	10550.00000000	267945.00000000	31506.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
177.54500000	778.60638977	0.00000000	0.00000000	0.00000000	500.02463568	1.88372223	0.00000000	800619.00000000	10518.00000000	267183.00000000	31445.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
183.28000000	778.80579977	0.00000000	0.00000000	0.00000000	499.86536298	1.88372223	0.00000000	801078.00000000	11093.00000000	272293.00000000	31433.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
189.20100000	779.00531194	0.00000000	0.00000000	0.00000000	499.89009206	1.88372223	0.00000000	798544.00000000	12431.00000000	275763.00000000	31179.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
197.29500000	779.21854018	0.00000000	0.00000000	0.00000000	499.69662621	1.88372223	0.00000000	798576.00000000	14221.00000000	289897.00000000	31177.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
205.40400000	779.40464314	0.00000000	0.00000000	0.00000000	499.77551778	1.88372223	0.00000000	798570.00000000	15999.00000000	299441.00000000	31191.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
212.31200000	779.60900486	0.00000000	0.00000000	0.00000000	499.71807934	1.88372223	0.00000000	800719.00000000	16556.00000000	304890.00000000	31301.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
218.73300000	779.80892886	0.00000000	0.00000000	0.00000000	499.73117647	1.88372223	0.00000000	799428.00000000	16532.00000000	307908.00000000	31265.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
225.66900000	780.00440823	0.00000000	0.00000000	0.00000000	499.71195766	1.88372223	0.00000000	798873.00000000	16837.00000000	313185.00000000	31310.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
232.38900000	780.20908465	0.00000000	0.00000000	0.00000000	499.85764276	1.88372223	0.00000000	800407.00000000	16324.00000000	316481.00000000	31482.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
240.10800000	780.40931661	0.00000000	0.00000000	0.00000000	500.21369934	1.88372223	0.00000000	799306.00000000	15790.00000000	308184.00000000	31349.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
246.32600000	780.60509716	0.00000000	0.00000000	0.00000000	500.14596122	1.88372223	0.00000000	796314.00000000	15314.00000000	307050.00000000	31159.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
253.67000000	780.80097598	0.00000000	0.00000000	0.00000000	500.22683280	1.88372223	0.00000000	797593.00000000	15458.00000000	306541.00000000	31209.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
260.88800000	781.00151192	0.00000000	0.00000000	0.00000000	500.32772246	1.88372223	0.00000000	797043.00000000	15058.00000000	298708.00000000	31165.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
267.92100000	781.20671207	0.00000000	0.00000000	0.00000000	500.13587952	1.88372223	0.00000000	794730.00000000	13254.00000000	282109.00000000	31058.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
273.65600000	781.40745652	0.00000000	0.00000000	0.00000000	499.97673398	1.88372223	0.00000000	795138.00000000	12110.00000000	267208.00000000	31041.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
281.37300000	781.60373830	0.00000000	0.00000000	0.00000000	500.23973011	1.88372223	0.00000000	797782.00000000	11728.00000000	264950.00000000	31194.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
286.99900000	781.80468689	0.00000000	0.00000000	0.00000000	500.13184684	1.88372223	0.00000000	797791.00000000	10999.00000000	258438.00000000	31313.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
294.03100000	782.01030940	0.00000000	0.00000000	0.00000000	500.19095648	1.88372223	0.00000000	799573.00000000	10674.00000000	257820.00000000	31438.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
300.96700000	782.20232136	0.00000000	0.00000000	0.00000000	500.12181963	1.88372223	0.00000000	798172.00000000	10647.00000000	252664.00000000	31357.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
308.70100000	782.40815313	0.00000000	0.00000000	0.00000000	500.53050087	1.88372223	0.00000000	798380.00000000	10133.00000000	251552.00000000	31376.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
315.62300000	782.60493807	0.00000000	0.00000000	0.00000000	500.40156410	1.88372223	0.00000000	799327.00000000	9888.00000000	249864.00000000	31404.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
321.40500000	782.80182203	0.00000000	0.00000000	0.00000000	500.24023873	1.88372223	0.00000000	797071.00000000	9610.00000000	245121.00000000	31253.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
327.23300000	783.00796950	0.00000000	0.00000000	0.00000000	500.08027576	1.88372223	0.00000000	797176.00000000	9539.00000000	242995.00000000	31227.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
335.15400000	783.21422558	0.00000000	0.00000000	0.00000000	500.40312631	1.88372223	0.00000000	796070.00000000	9417.00000000	239869.00000000	31028.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
341.96800000	783.40682933	0.00000000	0.00000000	0.00000000	500.21117437	1.88372223	0.00000000	796960.00000000	9144.00000000	239497.00000000	31089.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
348.38900000	783.60870632	0.00000000	0.00000000	0.00000000	500.03511701	1.88372223	0.00000000	797041.00000000	9009.00000000	236807.00000000	31219.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
354.74700000	783.81068738	0.00000000	0.00000000	0.00000000	500.27773176	1.88372223	0.00000000	797165.00000000	8800.00000000	230980.00000000	31141.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
360.04500000	783.99899076	0.00000000	0.00000000	0.00000000	500.12946719	1.88372223	0.00000000	798799.00000000	8791.00000000	228026.00000000	31322.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
367.07600000	784.19657691	0.00000000	0.00000000	0.00000000	500.32131013	1.88372223	0.00000000	799231.00000000	8698.00000000	227517.00000000	31400.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
373.51400000	784.40345979	0.00000000	0.00000000	0.00000000	500.23965745	1.88372223	0.00000000	797794.00000000	8583.00000000	225156.00000000	31367.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
379.43500000	784.60124990	0.00000000	0.00000000	0.00000000	499.99731518	1.88372223	0.00000000	794840.00000000	8402.00000000	220765.00000000	31141.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
385.68500000	784.80374307	0.00000000	0.00000000	0.00000000	499.51982407	1.88372223	0.00000000	794293.00000000	8330.00000000	219760.00000000	31023.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
392.51400000	785.01094650	0.00000000	0.00000000	0.00000000	499.64609055	1.88372223	0.00000000	795012.00000000	8360.00000000	221557.00000000	31064.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
398.92100000	785.20904315	0.00000000	0.00000000	0.00000000	499.61208525	1.88372223	0.00000000	793460.00000000	8338.00000000	223142.00000000	30994.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
406.65300000	785.42107123	0.00000000	0.00000000	0.00000000	500.02187456	1.88372223	0.00000000	795407.00000000	8388.00000000	234174.00000000	31136.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
414.68600000	785.60553657	0.00000000	0.00000000	0.00000000	499.94436355	1.88372223	0.00000000	794171.00000000	8367.00000000	239662.00000000	31126.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
421.79600000	785.81316369	0.00000000	0.00000000	0.00000000	500.27124677	1.88372223	0.00000000	794665.00000000	8355.00000000	241334.00000000	31195.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
429.63900000	786.01166550	0.00000000	0.00000000	0.00000000	500.05867731	1.88372223	0.00000000	795117.00000000	8354.00000000	232272.00000000	31106.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
436.46800000	786.20102811	0.00000000	0.00000000	0.00000000	500.41166396	1.88372223	0.00000000	795900.00000000	8388.00000000	225238.00000000	31140.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
443.21500000	786.40434804	0.00000000	0.00000000	0.00000000	500.23026316	1.88372223	0.00000000	795883.00000000	8376.00000000	219626.00000000	31180.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
449.92000000	786.59852430	0.00000000	0.00000000	0.00000000	500.03706069	1.88372223	0.00000000	795180.00000000	8334.00000000	215972.00000000	31111.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
458.06000000	786.81130359	0.00000000	0.00000000	0.00000000	500.29071990	1.88372223	0.00000000	793997.00000000	8274.00000000	210402.00000000	30967.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
464.85700000	787.01031010	0.00000000	0.00000000	0.00000000	500.10007586	1.88372223	0.00000000	792324.00000000	8260.00000000	209119.00000000	30934.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
471.35700000	787.20015429	0.00000000	0.00000000	0.00000000	500.47903878	1.88372223	0.00000000	793504.00000000	8269.00000000	210991.00000000	30980.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
477.09200000	787.40862532	0.00000000	0.00000000	0.00000000	500.36212739	1.88372223	0.00000000	794137.00000000	8279.00000000	211842.00000000	31126.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
483.93500000	787.60329793	0.00000000	0.00000000	0.00000000	500.18694196	1.88372223	0.00000000	792991.00000000	8270.00000000	210486.00000000	31062.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
490.63800000	787.80734395	0.00000000	0.00000000	0.00000000	500.00737871	1.88372223	0.00000000	794031.00000000	8245.00000000	208647.00000000	30990.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
495.21700000	788.00685474	0.00000000	0.00000000	0.00000000	499.86430775	1.88372223	0.00000000	396602.00000000	4133.00000000	104709.00000000	15505.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
499.42000000	788.50375071	0.00000000	0.00000000	0.00000000	499.80944547	1.88372223	0.00000000	396896.00000000	4156.00000000	105037.00000000	15552.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
504.31000000	789.01523209	0.00000000	0.00000000	0.00000000	499.67471730	1.88372223	0.00000000	395902.00000000	4168.00000000	104924.00000000	15556.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
508.82700000	789.51340109	0.00000000	0.00000000	0.00000000	499.80219754	1.88372223	0.00000000	394972.00000000	4156.00000000	104094.00000000	15525.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
512.84100000	790.00753502	0.00000000	0.00000000	0.00000000	499.75794705	1.88372223	0.00000000	394830.00000000	4146.00000000	103416.00000000	15504.00000000	0.00000000	0.00000000	0.00000000	1.93918487	0.00000000	0.00000000	0.00000000
