Date: 3/28/2024

Start, Stop, Increment
Mono Energy
Start: 1026.00000000
Stop: 1045.00000000
Increment: 0.20000000
Delay After Move (s): 0.00000000
Count Time (s): 0.80000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 14
Co(CO)N spot 1
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
1315.74800000	1025.99175354	0.00000000	0.00000000	0.00000000	499.73281860	1.88372223	0.00000000	46663.00000000	648.00000000	9251.00000000	1182.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
4.69100000	1026.21209821	0.00000000	0.00000000	0.00000000	499.61044312	1.88372223	0.00000000	46074.00000000	635.00000000	9037.00000000	1170.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
9.11500000	1026.40891451	0.00000000	0.00000000	0.00000000	499.54849243	1.88372223	0.00000000	46595.00000000	637.00000000	8881.00000000	1190.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
13.80000000	1026.60580633	0.00000000	0.00000000	0.00000000	499.42214966	1.88372223	0.00000000	46469.00000000	632.00000000	9335.00000000	1186.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
18.44000000	1026.80277370	0.00000000	0.00000000	0.00000000	499.39407349	1.88372223	0.00000000	46326.00000000	626.00000000	9173.00000000	1176.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
22.97300000	1027.01558338	0.00000000	0.00000000	0.00000000	499.78935242	1.88372223	0.00000000	46053.00000000	616.00000000	9188.00000000	1161.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
27.87800000	1027.20482162	0.00000000	0.00000000	0.00000000	499.66108842	1.88372223	0.00000000	46482.00000000	623.00000000	9606.00000000	1185.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
32.70600000	1027.41779801	0.00000000	0.00000000	0.00000000	499.60212708	1.88372223	0.00000000	46210.00000000	621.00000000	9621.00000000	1177.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
37.22200000	1027.60718452	0.00000000	0.00000000	0.00000000	499.47883606	1.88372223	0.00000000	46283.00000000	625.00000000	9977.00000000	1172.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
42.12900000	1027.81243204	0.00000000	0.00000000	0.00000000	499.34295654	1.88372223	0.00000000	46050.00000000	632.00000000	10892.00000000	1171.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
46.94200000	1028.00986278	0.00000000	0.00000000	0.00000000	499.59403992	1.88372223	0.00000000	45865.00000000	644.00000000	11004.00000000	1165.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
51.56400000	1028.20736937	0.00000000	0.00000000	0.00000000	499.46388245	1.88372223	0.00000000	46000.00000000	658.00000000	11883.00000000	1169.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
56.09700000	1028.40495188	0.00000000	0.00000000	0.00000000	499.33204651	1.88372223	0.00000000	45696.00000000	667.00000000	12525.00000000	1163.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
60.50400000	1028.60261035	0.00000000	0.00000000	0.00000000	499.60731506	1.88372223	0.00000000	45878.00000000	678.00000000	12660.00000000	1167.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
65.23800000	1028.82407806	0.00000000	0.00000000	0.00000000	499.48234558	1.88372223	0.00000000	45533.00000000	682.00000000	13108.00000000	1155.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
69.97200000	1029.00606932	0.00000000	0.00000000	0.00000000	499.35668945	1.88372223	0.00000000	46119.00000000	695.00000000	13925.00000000	1169.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
74.48900000	1029.21187613	0.00000000	0.00000000	0.00000000	499.83718872	1.88372223	0.00000000	45701.00000000	693.00000000	14299.00000000	1162.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
79.19000000	1029.40984494	0.00000000	0.00000000	0.00000000	499.70283508	1.88372223	0.00000000	45808.00000000	686.00000000	13832.00000000	1161.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
84.00400000	1029.61581332	0.00000000	0.00000000	0.00000000	499.96795654	1.88372223	0.00000000	45670.00000000	673.00000000	13303.00000000	1156.00000000	0.00000000	0.00000000	0.00000000	1.93626754	0.00000000	0.00000000	0.00000000
