Date: 3/28/2024

Start, Stop, Increment
Mono Energy
Start: 395.00000000
Stop: 410.00000000
Increment: 0.20000000
Delay After Move (s): 0.00000000
Count Time (s): 0.80000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 0

Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
445.95100000	394.99866321	0.00000000	0.00000000	0.00000000	500.22186279	1.88372223	0.00000000	298775.00000000	2556.00000000	87223.00000000	8947.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
4.84300000	395.20412708	0.00000000	0.00000000	0.00000000	500.09284973	1.88372223	0.00000000	294215.00000000	2541.00000000	84621.00000000	8776.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
9.67100000	395.40698588	0.00000000	0.00000000	0.00000000	500.25840759	1.88372223	0.00000000	298405.00000000	2596.00000000	86608.00000000	8885.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
13.39000000	395.61851872	0.00000000	0.00000000	0.00000000	500.28625488	1.88372223	0.00000000	299133.00000000	2564.00000000	86562.00000000	8888.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
18.60700000	395.84440337	0.00000000	0.00000000	0.00000000	500.15090942	1.88372223	0.00000000	296242.00000000	2576.00000000	86351.00000000	8845.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
21.81100000	396.00550362	0.00000000	0.00000000	0.00000000	500.06713867	1.88372223	0.00000000	292245.00000000	2525.00000000	85371.00000000	8685.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
26.95200000	396.22050806	0.00000000	0.00000000	0.00000000	500.64598083	1.88372223	0.00000000	296995.00000000	2575.00000000	85792.00000000	8896.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
30.65600000	396.40741196	0.00000000	0.00000000	0.00000000	500.54458618	1.88372223	0.00000000	299785.00000000	2599.00000000	86696.00000000	8956.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
34.76500000	396.60300012	0.00000000	0.00000000	0.00000000	500.42793274	1.88372223	0.00000000	300058.00000000	2575.00000000	87003.00000000	9009.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
39.98300000	396.81013697	0.00000000	0.00000000	0.00000000	500.28053284	1.88372223	0.00000000	298169.00000000	2574.00000000	85895.00000000	8987.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
43.84300000	397.02601632	0.00000000	0.00000000	0.00000000	500.17302080	1.88372223	0.00000000	294882.00000000	2524.00000000	85237.00000000	8847.00000000	0.00000000	0.00000000	0.00000000	1.91945129	0.00000000	0.00000000	0.00000000
