Date: 3/29/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\LLNL Scan Setup\B1s_20240329.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 1.00000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 0

Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
1517.93700000	180.00046533	0.00000000	0.00000000	0.00000000	500.14194670	1.88372223	0.00000000	1654632.00000000	261265.00000000	10093.00000000	140606.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
7.52600000	180.50494802	0.00000000	0.00000000	0.00000000	500.31609671	1.88372223	0.00000000	1661554.00000000	261517.00000000	10031.00000000	139392.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
15.46300000	181.00147570	0.00000000	0.00000000	0.00000000	500.32519749	1.88372223	0.00000000	1671322.00000000	263778.00000000	9758.00000000	139944.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
23.60600000	181.50384274	0.00000000	0.00000000	0.00000000	500.09439014	1.88372223	0.00000000	1671266.00000000	262876.00000000	9752.00000000	138522.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
31.44900000	182.00277182	0.00000000	0.00000000	0.00000000	500.59525989	1.88372223	0.00000000	1700252.00000000	266545.00000000	9844.00000000	140015.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
39.55900000	182.50445158	0.00000000	0.00000000	0.00000000	500.36654154	1.88372223	0.00000000	1691883.00000000	264740.00000000	9720.00000000	138749.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
47.40300000	183.00102592	0.00000000	0.00000000	0.00000000	500.14338175	1.88372223	0.00000000	1706463.00000000	265598.00000000	9748.00000000	138706.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
55.52700000	183.50506311	0.00000000	0.00000000	0.00000000	500.64601353	1.88372223	0.00000000	1725132.00000000	267726.00000000	9684.00000000	139784.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
63.44900000	184.00391913	0.00000000	0.00000000	0.00000000	500.45146397	1.88372223	0.00000000	1734908.00000000	267457.00000000	9630.00000000	139331.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
71.68300000	184.50549495	0.00000000	0.00000000	0.00000000	500.32528832	1.88372223	0.00000000	1755511.00000000	270034.00000000	9926.00000000	140652.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
79.48000000	185.00015038	0.00000000	0.00000000	0.00000000	500.10721479	1.88372223	0.00000000	1759457.00000000	269086.00000000	9768.00000000	139864.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
87.71500000	185.21134445	0.00000000	0.00000000	0.00000000	500.28901236	1.88372223	0.00000000	1760134.00000000	269270.00000000	9928.00000000	139756.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
95.96400000	185.41169808	0.00000000	0.00000000	0.00000000	500.05250113	1.88372223	0.00000000	1764779.00000000	270247.00000000	9442.00000000	140250.00000000	0.00000000	0.00000000	0.00000000	1.94023590	0.00000000	0.00000000	0.00000000
