Date: 6/6/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\NK1.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 0.80000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 2
S8
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
346.41100000	394.98459816	0.00000000	0.00000000	0.00000000	499.33288574	1.89278102	0.00000000	197373.00000000	1082.00000000	33270.00000000	7042.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
4.28600000	395.23792243	0.00000000	0.00000000	0.00000000	499.64698792	1.89278102	0.00000000	200479.00000000	1067.00000000	37601.00000000	7086.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
7.20700000	395.40416697	0.00000000	0.00000000	0.00000000	499.55299377	1.89278102	0.00000000	197280.00000000	1059.00000000	38379.00000000	7050.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
12.09800000	395.60158776	0.00000000	0.00000000	0.00000000	499.41055298	1.89278102	0.00000000	196721.00000000	1038.00000000	39947.00000000	6991.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
17.22700000	395.79638130	0.00000000	0.00000000	0.00000000	499.62104797	1.89278102	0.00000000	200333.00000000	1047.00000000	41773.00000000	7065.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
22.05000000	396.00267617	0.00000000	0.00000000	0.00000000	499.48364258	1.89278102	0.00000000	195806.00000000	1028.00000000	40155.00000000	6974.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
25.45800000	396.20069526	0.00000000	0.00000000	0.00000000	499.37103271	1.89278102	0.00000000	197187.00000000	1028.00000000	39056.00000000	7010.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
29.58200000	396.40174561	0.00000000	0.00000000	0.00000000	499.60563660	1.89278102	0.00000000	199232.00000000	1032.00000000	40050.00000000	7055.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
33.11300000	396.60016413	0.00000000	0.00000000	0.00000000	499.49851990	1.89278102	0.00000000	197524.00000000	1020.00000000	38577.00000000	6985.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
36.91000000	396.81581500	0.00000000	0.00000000	0.00000000	499.38949585	1.89278102	0.00000000	196691.00000000	1016.00000000	37829.00000000	6986.00000000	0.00000000	0.00000000	0.00000000	1.92124176	0.00000000	0.00000000	0.00000000
