Date: 6/6/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\FeL23-coarse.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 0.80000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 2
S8
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
131.92400000	701.99564359	0.00000000	0.00000000	0.00000000	499.98207092	1.89278102	0.00000000	36242.00000000	358.00000000	7380.00000000	1352.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
4.20000000	703.00994803	0.00000000	0.00000000	0.00000000	499.87327576	1.89278102	0.00000000	34903.00000000	347.00000000	7253.00000000	1287.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
8.93500000	704.00125817	0.00000000	0.00000000	0.00000000	500.32485962	1.89278102	0.00000000	34934.00000000	347.00000000	7219.00000000	1294.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
12.04300000	705.00279748	0.00000000	0.00000000	0.00000000	500.22961703	1.89278102	0.00000000	35010.00000000	349.00000000	7124.00000000	1302.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
15.57600000	706.00346549	0.00000000	0.00000000	0.00000000	500.14671326	1.89278102	0.00000000	34878.00000000	349.00000000	7368.00000000	1298.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
19.29700000	707.00697845	0.00000000	0.00000000	0.00000000	500.03616333	1.89278102	0.00000000	34368.00000000	354.00000000	7169.00000000	1274.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
21.88800000	708.00210925	0.00000000	0.00000000	0.00000000	500.52612305	1.89278102	0.00000000	33764.00000000	373.00000000	7470.00000000	1266.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
25.99500000	709.00380253	0.00000000	0.00000000	0.00000000	500.59768677	1.89278102	0.00000000	32806.00000000	382.00000000	7689.00000000	1241.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
29.71500000	710.00456689	0.00000000	0.00000000	0.00000000	500.50804138	1.89278102	0.00000000	32757.00000000	395.00000000	9661.00000000	1239.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
33.82400000	711.01193892	0.00000000	0.00000000	0.00000000	500.39794922	1.89278102	0.00000000	33662.00000000	402.00000000	9822.00000000	1272.00000000	0.00000000	0.00000000	0.00000000	1.93929510	0.00000000	0.00000000	0.00000000
