Date: 6/7/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-fine.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 0.80000000
Scan Number: 1
Bi-directional: No
Stay at End: 0
Description Length: 2
S8
Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
500.87500000	773.00154958	0.00000000	0.00000000	0.00000000	500.27198792	1.89278102	0.00000000	52602.00000000	629.00000000	7872.00000000	2057.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
2.90600000	773.50205236	0.00000000	0.00000000	0.00000000	500.19905090	1.89278102	0.00000000	52871.00000000	635.00000000	7933.00000000	2066.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
7.01500000	774.01663637	0.00000000	0.00000000	0.00000000	500.09071350	1.89278102	0.00000000	52884.00000000	634.00000000	7902.00000000	2072.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
9.23400000	774.49603855	0.00000000	0.00000000	0.00000000	500.02845764	1.89278102	0.00000000	52759.00000000	634.00000000	7940.00000000	2068.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
13.04600000	775.01643566	0.00000000	0.00000000	0.00000000	500.38352966	1.89278102	0.00000000	53104.00000000	635.00000000	8025.00000000	2078.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
17.84400000	775.21401067	0.00000000	0.00000000	0.00000000	500.26473999	1.89278102	0.00000000	52847.00000000	632.00000000	8095.00000000	2071.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
22.48300000	775.40719269	0.00000000	0.00000000	0.00000000	500.14167786	1.89278102	0.00000000	52853.00000000	631.00000000	8034.00000000	2069.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
25.09300000	775.60047103	0.00000000	0.00000000	0.00000000	500.07263184	1.89278102	0.00000000	52784.00000000	630.00000000	8065.00000000	2069.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
29.10800000	775.81183900	0.00000000	0.00000000	0.00000000	500.32356262	1.89278102	0.00000000	52695.00000000	629.00000000	8127.00000000	2063.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
32.90600000	776.02782312	0.00000000	0.00000000	0.00000000	500.37200928	1.89278102	0.00000000	52880.00000000	630.00000000	8136.00000000	2069.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
36.73500000	776.19889585	0.00000000	0.00000000	0.00000000	500.26700107	1.89278102	0.00000000	52990.00000000	631.00000000	8104.00000000	2074.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
40.15600000	776.40157957	0.00000000	0.00000000	0.00000000	500.17814636	1.89278102	0.00000000	52922.00000000	632.00000000	8312.00000000	2075.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
43.87400000	776.60436917	0.00000000	0.00000000	0.00000000	500.08537292	1.89278102	0.00000000	52824.00000000	630.00000000	8216.00000000	2068.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
47.70600000	776.81628478	0.00000000	0.00000000	0.00000000	500.10604858	1.89278102	0.00000000	52900.00000000	632.00000000	8292.00000000	2073.00000000	0.00000000	0.00000000	0.00000000	1.93941262	0.00000000	0.00000000	0.00000000
