Instrument: Andor
X Size: 2048
Y Size: 64
Total Flux: 0.000
Total Counts: 1402738
Background: 334.000000
Curvature: 0.0
Clipped to ROI: No
ROI: 1309 526 2539 1627
X	Counts
0	285
1	224
2	171
3	385
4	371
5	126
6	172
7	269
8	294
9	143
10	423
11	278
12	160
13	162
14	401
15	397
16	311
17	545
18	677
19	474
20	689
21	427
22	471
23	405
24	644
25	1053
26	1025
27	874
28	1199
29	872
30	1084
31	687
32	740
33	728
34	1037
35	1304
36	945
37	918
38	1026
39	1386
40	1372
41	1071
42	1151
43	1381
44	2020
45	2281
46	2085
47	1837
48	1093
49	1057
50	1548
51	2202
52	2358
53	2817
54	2832
55	2519
56	2401
57	1682
58	1756
59	2441
60	2873
61	2660
62	2130
63	2065
64	2108
65	1927
66	1692
67	2431
68	2748
69	2955
70	2618
71	2092
72	1674
73	1453
74	1525
75	1805
76	2232
77	2101
78	1635
79	1190
80	916
81	1062
82	1048
83	968
84	607
85	421
86	529
87	615
88	651
89	566
90	444
91	713
92	612
93	741
94	729
95	642
96	388
97	541
98	795
99	293
100	138
101	472
102	745
103	808
104	422
105	482
106	583
107	478
108	417
109	403
110	378
111	565
112	256
113	133
114	162
115	214
116	207
117	79
118	328
119	121
120	177
121	55
122	136
123	205
124	154
125	191
126	166
127	117
128	122
129	113
130	92
131	95
132	82
133	75
134	172
135	184
136	100
137	89
138	46
139	38
140	73
141	94
142	150
143	112
144	114
145	60
146	113
147	38
148	106
149	153
150	108
151	55
152	123
153	134
154	83
155	101
156	86
157	197
158	157
159	71
160	103
161	70
162	50
163	186
164	63
165	74
166	66
167	129
168	57
169	59
170	124
171	41
172	96
173	84
174	73
175	87
176	125
177	83
178	84
179	79
180	70
181	105
182	91
183	60
184	115
185	66
186	40
187	89
188	95
189	140
190	78
191	83
192	79
193	48
194	99
195	136
196	97
197	84
198	39
199	95
200	81
201	43
202	119
203	98
204	70
205	93
206	89
207	58
208	81
209	18
210	72
211	36
212	63
213	49
214	60
215	36
216	45
217	91
218	91
219	57
220	94
221	44
222	83
223	101
224	64
225	106
226	64
227	91
228	69
229	54
230	83
231	56
232	57
233	65
234	69
235	127
236	59
237	127
238	130
239	71
240	110
241	94
242	41
243	69
244	33
245	32
246	30
247	92
248	48
249	51
250	49
251	71
252	96
253	43
254	18
255	85
256	66
257	114
258	90
259	90
260	116
261	178
262	161
263	167
264	112
265	36
266	62
267	73
268	120
269	45
270	36
271	50
272	41
273	61
274	76
275	77
276	53
277	58
278	66
279	69
280	49
281	51
282	46
283	44
284	69
285	42
286	47
287	73
288	38
289	41
290	3
291	15
292	47
293	44
294	23
295	96
296	85
297	301
298	195
299	77
300	78
301	117
302	68
303	89
304	95
305	66
306	143
307	53
308	76
309	98
