Date: 7/5/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-fine.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 3.00000000
Scan Number: 3
Bi-directional: No
Stay at End: 0
Description Length: 0

Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
835.43900000	774.99399033	0.00000000	0.00000000	0.00000000	481.16475423	1.89278102	0.00000000	88979.00000000	608.00000000	24339.00000000	2087.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
840.67400000	775.50157240	0.00000000	0.00000000	0.00000000	480.62001546	1.89278102	0.00000000	89831.00000000	663.00000000	24685.00000000	2162.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
844.78100000	776.01882138	0.00000000	0.00000000	0.00000000	480.70508321	1.89278102	0.00000000	90723.00000000	676.00000000	25658.00000000	2173.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
849.90600000	776.50070791	0.00000000	0.00000000	0.00000000	480.56063334	1.89278102	0.00000000	89461.00000000	675.00000000	26122.00000000	2135.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
854.81300000	777.01026636	0.00000000	0.00000000	0.00000000	480.72205861	1.89278102	0.00000000	88987.00000000	683.00000000	26494.00000000	2126.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
858.75100000	777.51145766	0.00000000	0.00000000	0.00000000	481.50396174	1.89278102	0.00000000	177804.00000000	1403.00000000	56394.00000000	4266.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
862.97000000	777.70126628	0.00000000	0.00000000	0.00000000	481.56246532	1.89278102	0.00000000	177750.00000000	1423.00000000	55806.00000000	4278.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
866.78200000	777.90473552	0.00000000	0.00000000	0.00000000	481.44244107	1.89278102	0.00000000	177106.00000000	1453.00000000	56973.00000000	4263.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
872.87400000	778.10378621	0.00000000	0.00000000	0.00000000	481.69622248	1.89278102	0.00000000	178191.00000000	1503.00000000	59016.00000000	4262.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
877.00100000	778.30746617	0.00000000	0.00000000	0.00000000	481.57227950	1.89278102	0.00000000	177336.00000000	1596.00000000	61141.00000000	4217.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
882.61200000	778.49766371	0.00000000	0.00000000	0.00000000	481.39881481	1.89278102	0.00000000	176740.00000000	1582.00000000	61890.00000000	4199.00000000	0.00000000	0.00000000	0.00000000	1.93905877	0.00000000	0.00000000	0.00000000
