Date: 7/5/2024

From File
Mono Energy
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria Long Pickle RIXS\CoL23-fine.txt
: 290.00000000
: 320.00000000
: 0.05000000
Delay After Move (s): 0.00000000
Count Time (s): 3.00000000
Scan Number: Sum of 3 scans
Bi-directional: No
Stay at End: 0
Description Length: 0

Time (s)	Mono Energy	Undulator Gap	Mono Energy	Mono Energy Goal	Beam Current	Storage Ring Energy	Gate	Counter 0	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	User Ring Energy	M1 AI Correlation Size	M1 AI Correlation Waveform	LabVIEW Memory
1254.81300000	774.98950142	0.00000000	0.00000000	0.00000000	964.36655680	3.78556204	0.00000000	178903.00000000	1275.00000000	51900.00000000	4252.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	775.50606725	0.00000000	0.00000000	0.00000000	963.71513366	3.78556204	0.00000000	178749.00000000	1316.00000000	52694.00000000	4268.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	776.01432059	0.00000000	0.00000000	0.00000000	963.66706848	3.78556204	0.00000000	179626.00000000	1335.00000000	54141.00000000	4296.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	776.50070791	0.00000000	0.00000000	0.00000000	963.98743947	3.78556204	0.00000000	179226.00000000	1336.00000000	55097.00000000	4269.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	777.01477871	0.00000000	0.00000000	0.00000000	964.00524139	3.78556204	0.00000000	177782.00000000	1347.00000000	56244.00000000	4255.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	777.51597584	0.00000000	0.00000000	0.00000000	964.71513922	3.78556204	0.00000000	356263.00000000	2755.00000000	117976.00000000	8537.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	777.70578666	0.00000000	0.00000000	0.00000000	964.65008129	3.78556204	0.00000000	356321.00000000	2787.00000000	117763.00000000	8528.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	777.90925827	0.00000000	0.00000000	0.00000000	964.39723621	3.78556204	0.00000000	351355.00000000	2807.00000000	118572.00000000	8381.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	778.10378621	0.00000000	0.00000000	0.00000000	964.87403870	3.78556204	0.00000000	355779.00000000	2944.00000000	123870.00000000	8517.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	778.30293879	0.00000000	0.00000000	0.00000000	964.62265015	3.78556204	0.00000000	356032.00000000	3133.00000000	128296.00000000	8510.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	778.49766371	0.00000000	0.00000000	0.00000000	964.28380099	3.78556204	0.00000000	354656.00000000	3137.00000000	130214.00000000	8458.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	778.70154998	0.00000000	0.00000000	0.00000000	964.44596030	3.78556204	0.00000000	352150.00000000	2985.00000000	126669.00000000	8312.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	778.90100874	0.00000000	0.00000000	0.00000000	964.13003401	3.78556204	0.00000000	350349.00000000	2999.00000000	128377.00000000	8315.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	779.10056971	0.00000000	0.00000000	0.00000000	963.87094671	3.78556204	0.00000000	354588.00000000	3251.00000000	133978.00000000	8471.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	779.30477196	0.00000000	0.00000000	0.00000000	964.47550687	3.78556204	0.00000000	355466.00000000	3434.00000000	140475.00000000	8494.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	779.50453993	0.00000000	0.00000000	0.00000000	964.20216647	3.78556204	0.00000000	356631.00000000	3578.00000000	145625.00000000	8514.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	779.71349780	0.00000000	0.00000000	0.00000000	964.14210232	3.78556204	0.00000000	355786.00000000	3633.00000000	150687.00000000	8472.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	779.90438329	0.00000000	0.00000000	0.00000000	964.12871620	3.78556204	0.00000000	356964.00000000	3565.00000000	150890.00000000	8544.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
1254.81300000	780.10445884	0.00000000	0.00000000	0.00000000	963.84320346	3.78556204	0.00000000	356183.00000000	3482.00000000	154408.00000000	8556.00000000	0.00000000	0.00000000	0.00000000	3.87811754	0.00000000	0.00000000	0.00000000
