#saved Mon Jul 22 19:13:49 2024
#saving x array=energy, y array=mu
#Fe(NO)PCN224_sg31_clean: Fe(NO)PCN224_sg31_clean
#------------------------------------------
# energy, Fe(NO)PCN224_sg31_clean
 703.612539,  0.00922301
 704.004962,  0.00919317
 704.408949,  0.00917250
 705.006512,  0.00917051
 705.203447,  0.00917997
 705.404212,  0.00918455
 705.605090,  0.00919035
 705.806083,  0.00919066
 706.003465,  0.00920555
 706.208413,  0.00920904
 706.409750,  0.00922836
 706.600007,  0.00926020
 706.805301,  0.00933567
 707.006978,  0.00939768
 707.205033,  0.00945268
 707.429380,  0.00951674
 707.605218,  0.00961906
 707.811096,  0.00971248
 708.009602,  0.00977675
 708.200722,  0.00984576
 708.406947,  0.00994732
 708.605787,  0.01005917
 708.808494,  0.01015435
 709.007560,  0.01023218
 709.199219,  0.01029173
 709.406026,  0.01029602
 709.612954,  0.01029793
 709.804941,  0.01034918
 710.004567,  0.01049886
 710.219384,  0.01067504
 710.411699,  0.01077391
 710.604118,  0.01072381
 710.807970,  0.01056013
 711.034609,  0.01035184
 711.204684,  0.01013118
 711.401315,  0.00994087
 711.605625,  0.00978194
 711.821412,  0.00969049
 712.003229,  0.00962745
 712.196512,  0.00957326
 712.405071,  0.00952695
 712.590982,  0.00946996
 712.799773,  0.00942975
 713.012486,  0.00938774
 713.240533,  0.00936874
 713.404057,  0.00934939
 713.609519,  0.00933054
 713.811291,  0.00931085
 714.043660,  0.00930399
 714.207552,  0.00930833
 714.405848,  0.00930540
 714.608071,  0.00930918
 714.810408,  0.00930674
 715.005218,  0.00931159
 715.203957,  0.00929558
 715.433409,  0.00928671
 715.605595,  0.00927975
 715.804668,  0.00928375
 716.000020,  0.00927951
 716.402552,  0.00925589
 717.020648,  0.00923769
 717.205132,  0.00923081
 717.401250,  0.00923833
 717.605172,  0.00924482
 717.793807,  0.00924646
 718.001806,  0.00923988
 718.202215,  0.00923099
 718.406593,  0.00921693
 718.634245,  0.00922045
 718.811837,  0.00921845
 719.001107,  0.00921458
 719.205940,  0.00921132
 719.453441,  0.00921189
 719.608216,  0.00922156
 719.805650,  0.00922797
 720.069065,  0.00924314
 720.208598,  0.00926721
 720.410241,  0.00928398
 720.608116,  0.00931258
 720.778919,  0.00933323
 720.996422,  0.00937422
 721.206281,  0.00941989
 721.400704,  0.00946194
 721.610799,  0.00950455
 721.793759,  0.00953177
 722.004082,  0.00957031
 722.202834,  0.00958312
 722.479710,  0.00960078
 722.596763,  0.00958300
 722.807556,  0.00956581
 723.002843,  0.00952263
 723.276423,  0.00949616
 723.401557,  0.00948339
 723.597166,  0.00946961
 723.804627,  0.00946162
 724.067059,  0.00943653
 724.200306,  0.00941688
 724.408113,  0.00938905
 724.604266,  0.00936417
 724.804453,  0.00933262
 725.020464,  0.00930966
 725.213018,  0.00928030
 725.413541,  0.00926475
 725.606304,  0.00924294
 725.870045,  0.00923230
 725.996078,  0.00921753
 726.204917,  0.00921511
 726.405989,  0.00919977
 726.658472,  0.00919660
 726.804519,  0.00918886
 727.005923,  0.00919412
 727.405111,  0.00918404
 727.844329,  0.00917559
 728.200841,  0.00916638
 728.613247,  0.00917010
 729.006259,  0.00916802
 729.407648,  0.00916278
 729.817440,  0.00915997
