#saved Mon Jul 22 19:13:49 2024
#saving x array=energy, y array=mu
#FePCN224_sg31: FePCN224_sg31
#------------------------------------------
# energy, FePCN224_sg31
 702.003010,  0.01121246
 702.401014,  0.01120288
 702.806853,  0.01117783
 703.205769,  0.01116495
 703.608839,  0.01115464
 704.004962,  0.01115015
 704.405241,  0.01114925
 705.010227,  0.01115246
 705.199731,  0.01115653
 705.407931,  0.01116154
 705.605090,  0.01117113
 705.806083,  0.01118506
 706.003465,  0.01119632
 706.197231,  0.01121720
 706.406020,  0.01124772
 706.603738,  0.01131200
 706.809035,  0.01140384
 707.003243,  0.01149557
 707.201295,  0.01158476
 707.425640,  0.01167449
 707.601476,  0.01179385
 707.807352,  0.01187352
 708.017095,  0.01193962
 708.196974,  0.01207468
 708.403197,  0.01229923
 708.605787,  0.01256257
 708.808494,  0.01272071
 709.003803,  0.01283827
 709.202978,  0.01284646
 709.409787,  0.01279648
 709.612954,  0.01265574
 709.804941,  0.01258986
 710.004567,  0.01266427
 710.219384,  0.01288821
 710.404155,  0.01315370
 710.604118,  0.01331092
 710.807970,  0.01330682
 711.038388,  0.01314613
 711.204684,  0.01289918
 711.401315,  0.01263993
 711.609409,  0.01242273
 711.844134,  0.01227550
 712.003229,  0.01216137
 712.200303,  0.01206437
 712.401278,  0.01197165
 712.632730,  0.01189394
 712.803570,  0.01182185
 713.004887,  0.01176033
 713.225325,  0.01172470
 713.404057,  0.01169320
 713.609519,  0.01166505
 713.815099,  0.01162999
 714.016987,  0.01160400
 714.211365,  0.01158762
 714.402034,  0.01156659
 714.611888,  0.01155111
 714.802771,  0.01153064
 715.005218,  0.01151169
 715.200134,  0.01148887
 715.448711,  0.01147244
 715.605595,  0.01146790
 715.800838,  0.01146049
 716.007683,  0.01145029
 716.402552,  0.01141727
 717.055232,  0.01139779
 717.197443,  0.01138276
 717.401250,  0.01139366
 717.609021,  0.01139717
 717.816912,  0.01139372
 718.005659,  0.01140038
 718.202215,  0.01138392
 718.402736,  0.01137641
 718.641964,  0.01135443
 718.807975,  0.01135087
 719.004970,  0.01135072
 719.209806,  0.01135138
 719.461178,  0.01135628
 719.608216,  0.01135664
 719.801778,  0.01136432
 720.041940,  0.01139947
 720.204721,  0.01144574
 720.406362,  0.01148730
 720.604235,  0.01151531
 720.775036,  0.01154815
 720.996422,  0.01158696
 721.206281,  0.01164348
 721.404594,  0.01170419
 721.606907,  0.01176340
 721.793759,  0.01181932
 722.000186,  0.01184193
 722.202834,  0.01185067
 722.479710,  0.01181782
 722.600666,  0.01179532
 722.807556,  0.01174875
 723.006750,  0.01172956
 723.256875,  0.01170062
 723.409379,  0.01171817
 723.601079,  0.01171153
 723.808542,  0.01170571
 724.078814,  0.01168957
 724.204226,  0.01167205
 724.408113,  0.01166573
 724.608191,  0.01163610
 724.812305,  0.01160875
 725.008678,  0.01156875
 725.205157,  0.01153824
 725.409608,  0.01151156
 725.633850,  0.01148656
 725.814919,  0.01145701
 726.007896,  0.01143276
 726.204917,  0.01141242
 726.402045,  0.01140210
 726.646633,  0.01138100
 726.800571,  0.01136636
 727.005923,  0.01134633
 727.409066,  0.01133505
 727.828492,  0.01132333
 728.200841,  0.01130759
 728.613247,  0.01129026
 729.006259,  0.01127964
 729.407648,  0.01126879
 729.809479,  0.01127405
